#word,meaning,option1,option2,option3
低估,underestimate,reasoning,to estimate,unexpectedly
获胜,victorious,vicarious,destruction,excel
精密技巧,finesse,fitness,flexibility,show no understanding of the times
同时存在,coexist,consist,exist,chemist
密码,cipher,nipper,either,decipher
诽谤,slander,spanner,planter,slender
无意识的,automatic,automate,automation,automat
严格,rigid,vigil,rabid,frigid
微小,atomic,comic,attic,tonic
锯齿状的,indented,hollow,precipitous,four-way
倾向,proclivity,to agree,trust,earnest
王国,kingdom,vassal state,nationwide,independent state
狂热,fanatical,shed blood,craze,to fester
将机械重新整备,retool,to go into effect,cut off ,be worried by
就职,assumption,be on a business trip,transfer,degradation
（公开）宣传,publicize,publicity,give somebody a task,gather
普遍,universal,universe,mix well,troublesome
作出结论,conclude,concede,include,conclave
（作单数用）制图法,graphics,miner,inquietude,alienate
有天才的,talented,grandeur,jeweller,weapon
匆忙,haste,hare,paste,waste
包含,embrace,umbrage,brace,membrane
脊,ridge,fridge,range,edge
把…归于,ascribe,astride,describe,inscribe
公认,admittedly,interfere,to deny ,deny
变宽,broaden,broad,brocade,brazen
进料器,feeder,catalyst,infallible,news
约束,constrict,construct,conscript,constraint
废墟,ruins,trace,mineral spring,fountain
激光,laser,eraser,lasso,laze
服从,subjected,to follow,unconstitutional,to violate 
鸟类羽毛,plumage,plume,plunge,accordion
投入于,devote,dote,denote,remote
繁荣,boom,wood,boon,bow
（化学）有机的,organic,organism,organist,organ
举起,lift,wilt,lily,sift
有益健康,wholesome,wholesale,guffaw,undergo
渐渐破坏,undermine,underlie,underline,underpin
紫外线的,ultraviolet,contact,decoy,aperitif
模仿,mimic,music,civic,limit
岩石圈,lithosphere,scant,enthusiasm,exhaust
亲切,tenderness,urgent,unnecessary,scratching the surface
合作,cooperative,fully displaying one's capabilities,to be confronted with,grope
独奏者,soloist,sophist,colonist,cripple
盛行,dominate,dominant,donate,nominate
光滑,waxy,automatic,superficial,simple and unadorned
合金,alloy,also,gallon,pallor
洋娃娃,doll,poll,droll,boll
餐具,tableware,record,utensil,pump
小心,caution,caption,cartoon,nation
拥护,advocate,advocacy,allocate,to endorse
漫不经心,casual,coastal,nasal,manual
讨厌,troublesome,universal fraternity,love and hate,patriotism
诈骗,bluff,buff,fluff,cliff
前进,progressive,stride forward with one's chin up,degenerate,bring up the rear
使恼怒,annoy,canny,alloy,any
（灵魂）重生,regeneration,decay,rise suddenly,am
歪曲,distort,distant,disturb,discord
费力,arduous,ardour,very difficult ,first-class
狒狒,baboon,bacon,balloon,boon
谦卑,humility,humidify,humanity,humiliate
补助金,subsidy,subside,subsist,compensation
刺激物,stimulant,stimulate,amoeba,paste
易弯曲的,flexible,legible,inflexible,fluffy
抒情诗人,lyricist,fulfil,plunder,mealy
工业化,industrialization,legalization,simplify,come to the surface
外部,external,eternal,internal,paternal
水族馆,aquarium,panoramic view,decorate,background
果园,orchard,vegetable field,orchard,greenhouse
符号论,symbolism,logarithm,Marxism,knowledge
转学,transfer,transform,transfix,to copy
美洲或欧洲的野牛,bison,mason,piston,prison
教育学,pedagogy,pedagogue,anatomy,political science
抑制,restraint,restrain,restrict,rule
细流,trickle,triple,tricycle,sickle
日程,agenda,abend,amend,arena
危害,endanger,danger,to take precautions against,harmful
美学,aesthetic,esthetic,philosophy,mathematics
极重要的,vital,fatal,viral,total
填早...的日期,antedate,antidote,shudder,archway
乐于助人,accommodating,returnable,entertain,commandeer
溢出,spill,shrill,pill,skill
最后通牒,ultimatum,ultimate,inspection,document
排列,rank,prank,run,yank
有能力的,capable,palpable,capsule,payable
脚手架,scaffolding,quilt,screen,framework
用茅草覆盖屋顶,thatch,hatch,that,hutch
固定,standing,dull,manage  with difficulty,still
适当,fittingly,trouble,portable,not beneficial
适合,suited,unrealistic,symmetrical,fit
行动或言论的自由（范围）,latitude,platitude,lassitude,aptitude
掩盖,screen,screed,siren,scream
强制性的,obligatory,proper,portable,unsuitable
交易,deal,weal,realm,meal
（使）蒸发,vaporize,blackleg,duplicate,fitter
涝原,floodplain,expedition,brain,lymph
满意,satisfaction,calculation,project,cozy
地点,scene,shine,send,scant
好战,militant,militate,military,send troops
石墨,graphite,graphic,granite,pen
气泡,bubble,rumble,buckle,babble
避难所,harbor,eighteen,stentorian,gloss
福利,welfare,warfare,allocate,to exceed
近程,short-range,total ,number of people,digital
福音,gospel,dispel,hostel,compel
切割成锯齿状,indent,index,inlet,indeed
分辨率,resolution,revolution,absolution,devolution
小心,careful,earful,wakeful,harmful
家具师,cabinetmaker,solemnize,northward,thirdly
纤维,fiber,deep,medium,open 
引出,elicit,edict,deficit,felicity
才能,talent,parent,patent,tent
方言,idiom,idiot,dim,doom
壮观,grand,brand,crank,grange
贫瘠,arid,abed,avid,brim
孵卵所,hatchery,witchery,hatchet,knitwear
免疫性,immunity,impunity,immensity,immunize
有信心的,confident,confide,continent,confidence
分析,analyze,quantitative analysis,consultation,to separate out
使恶化,aggravate,aggregate,singsong,rain
公用事业公司,utility,ability,utilize,humility
喷出,erupt,abrupt,trust,crust
记录,tally,wall,tasty,telly
演示,demonstrate,to guide,enlightenment,to give and accept
在水中的,submerged,flow at great speed,slump,overflow
引用语,quotation,nutation,rotation,notation
选择,selection,reflection,election,selective
前景,prospect,prosper,respect,prospectus
持久,lasting,haul,make nothing of hardships,off and on
直言不讳,plainspoken,to say more than is necessary,dialog,grunt
发生,originate,original,emit,derivative
流星,meteor,meter,peter,meteoric
构成整体所需的,integral,interval,integrate,internal
陶工,potter,cutter,pattern,letter
杰作,masterpiece,schedule,school timetable,sb.'s original handwriting or painting
先例,precedent,president,preceding,precedence
解决,resolve,devolve,remove,evolve
新闻业,journalism,journalist,mining industry,army and government
以文字损害名誉,libel,label,jibe,lobe
基本,elementary,alimentary,elemental,scratching the surface
协调,coordinated,overlapping,trivial,symmetry
包含,inclusive,conclusive,incisive,illusive
命令,imperative,operative,to start,to release
懊恼,chagrin,chain,extremely angry,gloomy
一大群,horde,hope,shore,bore
极大,enormous,venomous,to stand tall,broad scale
否认,deny,dense,vent,menu
首要,primate,private,prima,primary
防腐剂,preservative,tonic,heroin,pest
繁殖,proliferation,wild,grow,to be born
羞辱,humiliate,humility,trophy,attain a result
音乐剧,melodrama,tragicomedy,accent,tragedy
指示,indicative,indication,indicate,inductive
攫取,grab,grub,cab,grave
范围广的,vast,mast,pasty,bait
巡逻,patrol,petrol,pathos,parole
保护,preserve,reserve,deserve,presence
沟,trench,wrench,bench,teach
迷惑,perplex,purple,people,to gain by cheating
可忽略的,negligible,eligible,severe,pressing
矫饰,pretense,revelation,to hide,conceal
成熟,ripe,five,grime,time
磅,pound,pounce,punk,bond
足够,adequate,inadequate,equate,dynamic equilibrium
表现,rendering,show,contain,to reappear
胁迫,threateningly,to menace,dun,extract
所有者,proprietor,propriety,apprentice,landlord
四分之一,quarter,quartet,barter,quaver
假定,assume,assure,assuage,spume
远程,long-range,to arrive late,fair,short distance
（植物）多年生的,perennial,medicament,beeline,anyone
含糊,vague,argue,page,value
拨款,appropriation,charge,to settle accounts,transfer money from|into an account
给与,bestow,bestir,stow,below
论题,thesis,theirs,theism,this
面具,mask,east,damask,mar
潜伏,latent,latest,blatant,lament
席卷,sweep,sleep,sweet,keep
恩惠,boon,boat,door,root
编织,braid,grain,bead,brandy
先驱,forerunner,granddaughter,granddaughter,ape man
草坪,lawn,lace,pawn,dawn
松类,conifer,ipecac,banana,Chinese ilex
总教堂,cathedral,amaze,epistle,teenage
同伴,companion,compassion,communion,comparison
仓库,repertory,power plant,mine ,nuclear arsenal
识别,identify,identity,to know what's what,separately
交通工具,vehicle,tea set,stationery,audio tape
集合,assemblage,assemble,for a long time,apart
复制品,reproduction,products,output,semi-finished products
主要都市,metropolitan,underpass,apprentice,drastic
淹没,inundate,innate,lower,racing current
标语,banner,banter,banker,manner
不动产,estate,state,testate,rotate
刷新,refurbish,rise suddenly,worsen,to update
归纳,generalize,generality,centralize,statistics
怀抱（希望等）,cherish,churlish,chemist,perish
如画,picturesque,gorgeous,ancient,old-fashioned
好交际的,outgoing,outlying,outgoings,optimistic
（使）变形,transform,transfer,transport,liquefy
衰退,flag,flow,log,flex
显赫,distinction,disgraceful,honor,won't work
一年一次,annually,century,current age,next year
看出,discern,discord,cistern,discard
地带,zone,tone,noone,hone
整理,arrange,strange,arrant,grange
改革主义,reformism,raid,bulb,ski
素描,sketch,stitch,sketchy,switch
僵化的事物,fossil,gossip,foil,verdant
限制,restriction,put an end to,to restrict,excited
使古旧,antiquate,forfeit,to draw into,to risk one's life
添加剂,additive,adoptive,addition,heroin
麻雀,sparrow,narrow,barrow,sorrow
(个人)副业,avocation,invocation,vacation,adoration
意图,intention,intuition,invention,injection
照明,illuminate,illumine,scattering,reflex
老练,diplomatic,boyish,amateur,proficient
发生,occur,our,occupy,soccer
可拉长的,tensile,textile,utensil,tenable
色素,pigment,figment,segment,payment
天文学,astronomy,gastronomy,astrology,autonomy
咨询,consult,consist,console,consul
传奇文学,legend,defend,lend,emend
（河流、烟等）出口,outlet,outset,outwit,cutler
共栖,symbiotic,previous,starvation,die of sudden illness
使完美,perfect,percent,imperfect,defect
忍受,tolerance,tolerate,tolerable,tolerant
热心,enthusiasm,insolent,culture,neither supercilious nor obsequious
冰柱,icicle,cycle,bicycle,circle
山顶,summit,summat,summon,commit
省略,elliptical,elliptic,complex,to coordinate
有能力的,competent,component,complement,competence
大胆,daring,firm,witty,skilled
点滴搜集,glean,lean,bean,gland
全部,overall,overawe,overact,overhaul
寺庙,temple,ample,people,tumble
陶器,pottery,lottery,potter,potty
巡警,patroller,secret service,example,detective
斑纹,stripe,strip,stride,gripe
骨架,skeleton,cover,frame,rack
人道主义,humanitarian,separatism,nationalism,money worship
匿名,anonymous,accept responsibility ,maintain secrecy,reproof
旋律优美,melodious,glitter,hanging by a thread,bright
直径,diameter,diabetes,blood pressure,diameter
神,deity,duty,density,decoy
嗅觉,olfactory,remote sensing,sensibility,ill
街区,block,black,clock,bullock
无害,harmless,careless,harness,heartless
口语,colloquial,Tibetan ,Sanskrit,Portuguese 
喷雾,spray,astray,stray,pram
分开,division,divisor,envision,decision
表面（的）,surface,furnace,suffice,surname
表示,representation,to demonstrate,it could even be said,omen
（废料等的）回收,reclamation,presence,dustbowl,mustard
子公司,subsidiary,booth,dairy farm,state guesthouse
支持,bolster,holster,foster,bluster
侍者,attendant,ascendant,attendance,a host
发展,evolutionary,gradual progress,bring up the rear,to drop 
吸收（液体、知识）,absorb,absurd,abhor,abort
冰冷,glacial,labial,facial,racial
使隶属,affiliate,officiate,shroud,bog
空的,empty,enmity,espy,imply
无味,bland,blind,blank,beard
结实,stout,stunt,shout,snout
海报,poster,poker,spotter,prosper
压缩,condensation,pay retroactively,to die out,to cut staff
提出,frame,grate,prate,flame
生理学,physiology,biology,research,economics 
滑翔机,glider,glitter,glower,glide
调整,adjustment,allot,swop,deply forces
咨询服务,counseling,mall,righteous,generate
贬值,depreciation,ebb,to advance,slump
使颠簸,jolt,volt,lot,foot
外科医生,surgeon,burgeon,surge,surgery
监禁,imprisonment,take into custody,catch,arrest
魔法,magic,tragic,mania,maid
相互连接,interconnected,lovable,denial,typify
管弦乐队,orchestra,orchestral,band,chamber of commerce
尖锐,pungent,urgent,tangent,interesting
用具,appliance,alliance,vessel,special local product
标准化的,standardized,pen,pack,jade
孤独,solitary,military,salutary,sanitary
精神错乱,delirium,stoppage,paralysis,craze
期望,anticipation,guess,anticipate,to yearn for
炭,charcoal,embellish,boatswain,visualize
巨石,boulder,holder,moulder,bounder
弹簧,spring,sprint,sprig,shrine
（天然资源的）保护管理论者,conservationist,mainspring,enough,famous
脆的,delicate,delegate,desiccate,dedicate
解释,account,accent,count,recount
不负责任,irresponsible,abstention,individual,felony
保守,conservative,unreasonable,justly,just and fair
祖先,ancestral,successor,peer,people
前进,progress,regress,profess,prowess
挖掘,excavate,excavator,escalate,pliers
和声,harmonic,aloud,soprano,tenor
遮光物,shade,share,spade,shame
抵消,neutralize,centralize,neutrality,surplus
力大无比,herculean,coarse,untrammeled,insignificant
使均匀,homogenize,goblet,brake,disabuse
温暖舒适,snug,slum,sub,slur
送急件的人,courier,collier,corner,mourner
（对艺人的）面试（试演|试唱）,audition,tuition,sedition,munition
动物群,fauna,flunk,sauna,flaunt
新闻事业,journalistic,afoot,dealer,phantom
预示,foretell,retell,forestall,known
大块,chunk,minor,blackguard,swan
乐观,optimistic,optimist,to revolt,naughty
喧闹,bustle,hustle,rustle,burgle
精炼,refine,refuse,revile,rein
同情,sympathy,use sparingly,what a pity,forgiveness
重新开始,renew,rend,refer,reel
可行,viable,liable,likable,unable
防水,waterproof,contraception,to take precautions against,in order to avoid
艳丽,flamboyant,currently existing,fresh,colorful
景色,vista,visa,iota,vest
普遍,prevalent,prevalence,prevent,narrow
龙虾,lobster,mobster,roster,monster
名人,notable,notably,noble,unstable
政权,regime,resume,regimen,revise
承受,endure,ensure,undue,entire
微妙,subtle,subtitle,sublet,supple
分配,assignment,fulfil,to exchange,loan
地震,earthquake,fire ,famine,plant disease
