#word,meaning,option1,option2,option3
重新点燃,rekindle,saucer,jerk,emancipate
无情,ruthlessness,figurative: enamored  with new people , bored with the old,unworthy,peace and security
挑剔,dainty,daily,dint,saint
使暴晒,insolate,gray,production,canker
使硬化,calcify,pacify,crucify,calcium
方尖碑,obelisk,nightclub,waistband,team
尊重,esteem,steel,seem,steam
反责,recriminate,obscenity,crocodile,intricate
调整,regulate,relate,regular,peculate
有峭壁的,craggy,scraggy,shaggy,crag
烦乱,perturbation,be sorry,serene,be sorry
原因,causal,nasal,cause,carnal
冒充者,impostor,imposture,hoodlum,accomplice
自然环境,habitat,habitual,habituate,habit
帆船,yacht,act,ache,tacit
嗜好,propensity,local flavor,scent,opinion
征用,commandeer,commander,interchangeable,misuse
易弯,pliable,reliable,pitiable,liable
(喜好精致服装的)花花公子,fop,zip,cos,sop
使(人)极为愤怒,infuriate,inebriate,bumpkin,again
单方面的,unilateral,trilateral,bilateral,gusto
(使)入伍从军,enlist,insist,exist,dentist
易燃,combustible,defensive ,advantage,strong point
豪华,sumptuous,bumptious,graceful,civilization
强夺,rapacious,capacious,sagacious,spacious
原始,primitive,after school,unofficial,specialized field
主菜,entr,lettuce,seafood,cold platter
原油,crude,drudge,prude,crumb
床垫,mattress,buttress,waitress,actress
严厉,draconian,mean,counter-revolutionary,great amount
报复性的,vindictive,benzene,mango,carper
展开,deploy,employ,reply,deplore
弄脏,smudge,nudge,drudge,surge
歌舞杂耍表演,vaudeville,sympathy,disburse,wishful
怀疑,discredit,discreet,half-believe, half-doubt,trusted aide
违背(法规,contravene,tight,wade,refract
祝愿,blessing,make do,celebrate,deal with
简陋的房子,hut,eat,shut,hot
刺骨,nipping,brief,real time,glow
不服从的,insubordinate,resistance,defend,defend
深仇,rancor,dislike,abhor,love and hate
解释,explanatory,comment,to leave one's comments,to download
大箱子,bin,burn,bat,basin
斑点,fleck,flock,cluck,flick
无孔,nonporous,murderous,bitch,network
芳香的,fragrant,flagrant,fragment,vagrant
焦虑,inquietude,quietude,sullen,pain
华而不实,meretricious,fluent,definite,mystery
讽刺画,caricature,carriage,former,pardon
笨重,unwieldy,be unhappy,softly,hard
投票,voting,primaries ,elect,advertise job offers
以策略制胜,outmaneuver,borax,spotless,pantograph
远地点(太阳等距离地球最远的点),apogee,fickle,world,likelihood
(语言等)夸张的,grandiloquent,boost,boast,confrontation 
格言,aphorism,amino-group,adverbial adjunct,predicative
鞍,saddle,waddle,sidle,paddle
(思想文字)不连贯的,incoherent,inherent,coherent,roomed
预感,precognition,remote sensing,ache,perception
无形,intangibility,wide scale,polyhedron,state of affairs
讨人喜欢,endearing,to be full of,moving,extensive
刻苦攻读,lucubrate,rush about,to make a living as a traveling performer, etc.,collapse
深度可测量的,fathomable,banker,pulverize,hunt
阶段,gradation,graduation,radiation,tradition
猛攻,onslaught,attack,resistance,force majeure
饱足,satiety,safety,sanity,society
得体,seemly,unseemly,seedy,seem
逮捕,apprehend,reprehend,captivity,to capture
小猫,kitten,batten,kite,mitten
(抛射物)弹道轨道,trajectory,snuffle,turf,embezzle
点滴,sprinkling,in riotous profusion,various sorts and varieties,all
派生,derivative,derivative,to lose,outburst
煽动,foment,moment,cement,omen
自以为是,pontifical,not stint,generous,cordial
(从灾难中)抢救,salvage,silage,salve,savage
询问,inquiry,enquiry,inquire,injury
有缺点的,defective,detective,elective,defensive
使人烦躁,grate,migrate,grape,grass
简洁,laconic,lactic,frozen stiff,sag
撤退,retreat,retract,repeat,recreate
监督,superintend,supervise and urge,roll call,watch over
明显,obvious,devious,odious,envious
和谐,concordant,symmetry,to be full of,troublesome
强调,accentuate,forecast,reaffirm,to pledge one's life
有常识的,commonsensical,immediate,growl,induction
粘度,viscosity,rigidity,educational,toxicity
使窘困迷惑,nonplus,bask,backwater,nonchalant
耽搁,procrastinate,become due ,be unable to bear or support,cash
警长,sheriff,detective,gunner,police officer
幼苗,seedling,sterling,goose feather,precious  deposits
狼吞虎咽,guttle,to suck in,chew,to hear told
适当的措辞,felicity,ferocity,elicit,velocity
机智,witty,ditto,kitty,putty
冷淡,unconcern,concern,depreciate,non-participant
对抗,confront,to take effect,cut off ,forge 
小册子,pamphlet,reference,dictionary,new book
假装,simulation,hold one's breath,hang,lazily
钢笔尖,nib,nab,pig,him
故作勇敢,bravado,bravo,maintain a large staff and organization,bluff
微生物,microbe,micron,disrobe,mammal
平行线,parallel,parable,ray,vertical angles
使充气,inflate,inflame,insulate,isolate
提出(讨论),broach,brooch,breach,beach
羊肉,mutton,button,motion,cotton
弄凹,dent,decant,tent,duct
薄荷醇,menthol,pottery,mischance,lionize
无节制的,immoderate,moderate,further ,unlimited
有名无实,titular,tabular,tubular,false
性急,testy,test,tasty,espy
违法,infraction,inflation,infection,fraction
乡村,bucolic,colic,Caracas,town
世界性,cosmopolitanism,ravine,fleet,impose
雕像,statuary,cross,simple and straightforward style of writing,title design
超新星,supernova,ordinary members of theatrical troupe,singer,lead
赔偿,reparation,separation,reputation,relaxation
指挥家,conductor,conduct,conduction,inventor
不名一文,impecunious,to hit,beat up,to beat
季雨,monsoon,pontoon,mansion,gust
前事,antecedent,roadway,demean,moody
序幕,prologue,prorogue,duologue,final
(女孩)到婚嫁年龄的,nubile,victualler,sapphire,paragraph
名声跌落,eclipse,ellipse,elapse,prose
抑制,inhibit,inhabit,inherit,sanctions
浪费(时间),footle,camphor,Monday,flange
白炽,incandescence,fluorescence,moonlight,laser
讲台,dais,vain,bail,Mars
后悔,penitent,impenitent,penitence,lenient
缺乏辨别力的,myopic,myopia,topic,mystic
能劝说的,persuasive,persuasion,pervasive,mausoleum
传家宝,heirloom,political views,goose feather,heritage
预感,foreboding,remote sensing,to loathe,visual
合成物,composite,composure,compost,compositor
凶猛,ferocity,atrocity,felicity,velocity
抑制,refrain,regain,refract,retain
坚持,insistence,guessing,to find,stand
突然升官的人,upstart,start,upstairs,upstage
冒烟,fume,use,fur,fuss
旋风,cyclone,cycle,tempest,head wind
大吃大喝,guzzle,nuzzle,muzzle,puzzle
作为象征,emblematic,withhold,nullify,resume
确定的事情,certainty,certainly,certain,protest
以水管浇洗,hosepipe,sedentary,gipsy,dispel
母驴,mare,afoot,immoderate,tombstone
赔偿,indemnity,indemnify,indignity,redeem
量...口径,calibrate,celebrate,celibate,calibre
引人入胜,engrossing,be unpopular,tempting,be lacking
疲乏,fatigue,to pant,to arouse,lazily
把...赶走,oust,lust,bust,butt
尸体解剖,autopsy,to inquire,to go around and inspect,watch over
苦难,tribulation,disaster caused by hail,torment,freeze injury
阴暗,stygian,hurricane,past one's prime,sunny and cloudless
(偷偷地)侧身而行,sidle,idle,single,bile
延长,protract,protractor,retract,protect
不顾死活,desperate,temperate,desperado,kindly
笨拙,clumsy,calumny,clammy,flimsy
土产,indigenous,ready made,official,first
初期,incipient,recipient,incident,session
重申,reiterate,literate,iterate,loop
无实体的,disembodied,not an example to be followed,fluent,concrete
凸出,convex,convoy,cone,convent
极好,splendid,infant,grapnel,projection
肥沃,fecund,blank space,"not even a blade of grass grows",dense
沉着,aplomb,feel apologetic,treat somebody fairly,peacefully
(角斗的)竞技场,arena,aroma,ardent,agent
确定无疑,certitude,rectitude,fortitude,servitude
(宝石重量单位)克拉,carat,claret,coat,cat
碎石,gravel,grapnel,grave,travel
(对将来事件)预示,adumbrate,keyboard,hoarse,defect
居民,denizen,ethnic Chinese person or people,city resident,overseas Chinese
寄生虫,parasite,paradise,ground beetle,house lizard
欺骗,duplicity,duplicate,publicity,to fool
被动,passive,massive,pensive,impassive
强求,importune,importance,opportune,important
无能,ineptitude,arise from the dead,short and pithy,omnipotent
派别(间)的,factional,fun,apiece,cant
茫然,bemused,adore,take notice of,to like
简陋的小木屋,shanty,socialite,drafty,lancet
向某人保证,assure,assume,fissure,ensure
胜利者,victor,petty and low,rare,priceless
诚实,rectitude,certitude,naked,to alleviate
支持,countenance,legacy,currently available,heat preservation
预示,prefigure,it can clearly be seen,to come from ,to reflect
偶然,adventitious,about,unexpected,not enough
铁匠铺,forge,fore,forte,fogy
不能胜任,incapable,capable,suspicious,aim
使入伍,induct,fort,highlight,comprador
拯救,extricate,explicate,intricate,dank
吸引力,attraction,traction,extraction,attractive
繁荣,palmy,balmy,palm,pasty
遗址,remains,airport,base,ticket office
柄,haft,receptacle,seedling of beans,ovary
烙印,brand,band,brag,brave
有害,baneful,to guard against,easy to,harmless
下垂,flagging,bare,to raise,sunken
掩饰(罪行),extenuate,shrink,pith,contract
有图片的,pictorial,misplace,motor,august
联合,coalesce,each,by oneself,exactly
无政府主义者,anarchist,destroyer,buttonhole,boisterous
指数,indices,electrical energy,contents,sum or volume or amount of business transactions
详尽地说明,elaborate,evaporate,declare where one stands,to incite
饱满,replete,deplete,repute,replace
华美,ornate,urinate,create,rate
灌输,implant,imprint,impact,impart
密使,emissary,Deng Xiaoping,president ,prime minister
一部分,portion,abortion,potion,torsion
(动物)纯种的,purebred,nonce,rubric,bag
消息灵通,well-informed,trillion,rightism,portentous
照料,tend,then,attend,deed
联盟或同盟,confederacy,distress,least,pacifism
偷偷,furtive,futile,fertile,forgive
犯罪者,culprit,effervesce,auxiliary,hydraulic
之字形(的),zigzag,vellum,skateboard,antifreeze
慷慨,munificence,pride,generous,grim
(面部等的)特征,lineaments,circumstances,undercurrent,occasion
法人团体,corporation,semicolon,dairy farm,state guesthouse
深思熟虑,mature,capture,nature,future
朴实,chaste,chase,caste,taste
反应物,reactant,overcome,initiative,intonation
刺绣花样,sampler,pressurize,disconnect,outrage
寡头政治,oligarchy,policy,system or institution,republic
受虐待的,aggrieved,might,upwards,depress
霸权,hegemony,ceremony,a  mission,might
命令,mandate,mandated,manage,magnate
争吵,altercation,hoot,beat up,damn
姜,ginger,winner,linger,singer
(楼梯的)栏杆,banister,band,enslave,slab
旱生植物,xerophyte,sloppy,chill,vegetable
不付款的,gratis,ratio,grate,gratify
给...添加燃料,stoke,broke,slake,stop
衣衫褴褛,seedy,sled,speedy,needy
守口如瓶,secretive,secretion,secrete,take the blame
暴雨,deluge,delude,delete,deduce
摇摇欲坠,totter,jotter,otter,foster
适宜的/,apropos,propose,machine,zoological
水龙头,hydrant,tyrant,transformer,lightning arrester
装饰,garnish,tarnish,varnish,furnish
碎屑,detritus,grate,frolic,impure
一小片,patch,peach,latch,pitch
鲁莽,foolhardy,really,refined,trustworthy
肆意破坏,vandalize,emporium,waitress,hegemony
不同时的,asynchronous,corrective,consecrate,anthropoid
不正常的,abnormal,normal,liquid ,morbid or abnormal state
尸体,cadaver,forehead,human remains,hoary head
萤光,fluorescent,radioactive,diffraction,jingle
令人不愉快的,obnoxious,noxious,terribly,be unpopular
渗入,penetrate,venerate,generate,perpetrate
严厉,dour,demur,odour,hour
短暂,momentary,commentary,monetary,Marathon
视力不佳,purblind,atrocious,clout,deform
愉快,palatable,palpable,mixed feelings of grief and joy,mournful
下等人,rabble,ramble,rubble,able
使茫然,daze,haze,raze,dye
抗菌,antibiotic,mister,again,feign
讨好,propitiatory,tame,to persuade,shield
使失掉人性,dehumanize,uneven,cobweb,gangrene
糖衣,icing,party,joint,formation 
不能改变,irrevocable,consignee,usurp,trader
赤裸,nude,rude,prude,guide
溃疡病,canker,tanker,cancer,banker
被利用的小人物,pawn,pain,warn,awn
(通常指未婚的)双方同居,cohabit,habit,inhabit,firstname
人体模型,dummy,dumpy,mummy,mommy
(对人或行为的)抗议,expostulate,to arouse,spur on,sell 
托架,bracket,backer,racket,bucket
花粉,pollen,volley,pole,pallet
改过自新,regenerate,to break the rules,wrongdoing,onward
玷污,smirch,mirth,smirk,search
不能分解成因子的,irreducible,signalize,stratum,promotion
无能力的,incompetent,brave,curl,almanac
鹿肉,venison,uneducated,gainsay,fair
肢解,dismember,to open,to put on,to doodle
喜欢挑剔的人,faultfinder,blaspheme,philtre,tooth
疑问,query,curry,fiery,bury
蔑视,flout,flux,clout,bout
变化性,variability,variation,to develop,to duplicate
管理,administer,minister,be in charge of,engage in
故作姿态,posture,costume,pasture,poseur
轻信,credulous,half-believe, half-doubt,jealous,trust
精神病学,psychiatry,tot,epaulette,haggle
残暴,truculent,to confess,honest and sincere,mercy
立遗嘱的人,testator,testate,mordant,implicit
胆小鬼,coward,award,cower,hoard
毛毛细雨,drizzly,jewel,inundate,jiffy
顽抗,recalcitrant,force majeure,immunity,attack
混淆,hodgepodge,to violate regulations,miss,to make right
虚度光阴,loaf,load,law,roof
(尤指为公益事业举办的)抽奖售物(活动),raffle,duffle,baffle,waffle
蚊帐,canopy,jalopy,canny,canoe
屈尊,condescend,offing,oilskin,unscrew
规避,bypass,bass,bypath,pass
可破坏的,destructible,pillow,telescopic,jug
向...致意,salute,palate,salve,saute
外围,periphery,external,internal ,outskirts
(昆虫的)幼虫,larva,lark,lava,lard
使突然停止,check,creek,cheat,chuck
戏剧,thespian,symphony,serenade,opera
崇高,lofty,fifty,loft,lout
浪荡子,vagabond,captive,refugee,runaway
恶毒,diabolical,mean and ferocious,these,kind-hearted
连续的一段时间,spell,sell,yell,spear
进行(战争,wage,gag,wane,wavy
夹,shuck,calve,needle,zero
集合,convene,condone,confine,convey
吸引力,affinity,infinity,gravity,pressure
宝座,throne,throb,thrive,throng
(桶之)箍,hoop,hock,look,rook
文件夹,portfolio,indecision,consulate,provision
伪善,pharisaic,faithful,turn ,tame
小贩,vendor,sensor,vector,sender
侵扰,harass,carcass,brass,morass
克制,restrain,restraint,refrain,retain
易冲动的,impulsive,impassive,impulse,duodecimal
恶棍,miscreant,nobleman,evildoer,volunteer
显而易见,patent,intent,potent,latent
杀真菌剂,fungicide,disembark,call,timer
巨大,monstrous,feeble,coarse,grand
恳求,entreaty,my presumptuous request,implore,to deny 
(宗教)任职仪式,investiture,waistcoat,glazier,olive
领事,consul,census,consult,consume
机密,confidential,Heaven knows!,government,unlawful
草地,sod,shy,so,sob
背信,renege,to practice,conference,to meet
格言,maxim,maim,aim,taxi
创始,genesis,genetic,genetics,nemesis
不熟练的,unversed,inverse,universe,malevolent
有助于...的,conducive,covert,bewail,sash
费解,bewildering,fluent,wide of the mark,earnestly
菊,chrysanthemum,cymbidium,Lotus ,winter bamboo shoots
微温,lukewarm,vicarious,collective,curdle
