#word,meaning,option1,option2,option3
underestimate,低估,预测,猜测,出乎预料
egalitarian,主张人人平等的,文化修养,水塘,姨父
cheer,使高兴,塞子,叫卖,健身房
momentous,极重要的,开玩笑,熟悉,不要紧
poster,招贴,标签,便条,药方
wail,哀号,哭泣,怕羞,暗笑
paradox,矛盾、似矛盾而正确的说法,表格,冰冻甜食,总的
clash,(意见等)冲突,然后,吸烟,接替
insulate,绝缘,接合,遗传,关联
hawk,隼鹰,挫败,难对付的,无党派者
jolt,颠簸,摇动,转动,跳动
surgeon,外科医生,告诉,上学,丑恶
glow,激情,民意,心情,绪
tonic,增进健康之物,毒饵,白面儿,维他命
orchestra,交响/管弦乐队,幸福,笔记本,(英)飞机
pungent,刺鼻,动人,可笑,正常
appliance,器械,鞭子,笪,常规武器
lame,跛的,非常,裁决,相当
solitary,孤独,忙碌,闲暇,艰苦
feminine,(语法)阴性的,群众,青年们,不满意的
delirium,精神错乱,不仁,狂热,堵塞
anticipation,预料,瞩望,预计,出乎预料
mesh,网眼,空儿,无缝,裂缝
code,把…译成电码,简慢,专心,拍手
ignition,点燃,暖和,熨,生火
rumor,传说,流行,谣传,传播
siege,围攻,督战,攻打,冲击
impromptu,即席,解脱,从事,脱离
unrest,不稳,样式,变态,动态
spring,春天,暑天,前年,上半年
battery,炮兵连,明白,残酷,平局
off-hand,当即,临时,纯粹,光是
corrupt,使腐败,提出看法,制图表,（突然感到病痛时发出的声音）哎哟
delicate,巧妙,龙飞凤舞,渺茫,百读不厌
account,报告,宣誓,指出,禀告
conservative,保守的人,记下,腿,卫星(于本文中作形容词用)
fortnight,两星期,体系,会(社)长,希望
excavate,挖掘,钳,掰,安插
neutralize,使无效,高度,势如破竹,锐利
capsule,胶囊,冰袋,袋子,背包
rubric,红色印刷,编年体,印地语,样式
courier,特别信使,照耀,争论,进餐
unconditional,无限制的,不妨,还,本来
audition,(演员等)试唱,履行,谷粒,毁灭
clear,光亮,背光,耀眼,细小
fauna,动物区系,片语,薄金属片,开发
fallible,会犯错的,忠实,乘客,妻子
endeavour,努力,从来不,大体,不够
barometer,气压计,标尺,罗盘,计数器
directory,目录,节目,篇目,笔调
chunk,厚厚一片,末尾,水道,图案
bustle,喧闹,荒凉,寂寞,凋敝
refine,使有教养,矮,任务,完成结束
womb,子宫,阴茎,阴户,睾丸
contribute,贡献,捐献,提交,募捐
fathom,彻底明白,探路,参与,干预
renew,继续,进行,休会,并举
viable,(计划)可实行的,集会场所,电影院,海洋
shackle,(常用复)镣铐,(短)桨,你们亲自,识别
prevalent,流行,沟通,传说,谣传
notable,名人,鲁迅,巨头,哥伦布
wander,走神,悲叹,唉声叹气,目瞪口呆
regime,政府,赘疣,痞,政权
endure,忍耐,抑制,赞同,不予
subtle,敏感,精明,愚笨,聪明
assignment,作业,本科,家庭作业,课题
earthquake,地震,饥荒,火灾,雹灾
attempt,尝试,点心,滑溜,煨
conserve,蜜饯,巧克力,喜糖,麦芽糖
time,)时代,格外,失望,（口）有臭味的
heterogeneous,异类,灵魂,妖魔,鬼魂
scroll,纸卷,白描,素描,壁画
weird,奇异,吃不服,醒来,震惊
posthumous,死后,幼畜或雏鸟,底部,(使)平静
sincere,诚恳,叛逆,温柔,暴躁
forefront,最前部,装作,遮光物,因特网
menace,(进行)威胁,淡薄,战斗力,广受欢迎
misconduct,(行为)不规矩,叔父,重说,拖曳者
calorie,卡[热量单位],程度,角色,(盛液体或气体的)箱
decorate,装饰,组装,酿造,制造
candle,蜡烛,徽章,火炬,火柴
optic,视觉,好感,反感,灵感
normalize,使合标准,抓住,绘画者,办法
gratitude,感激,感恩,联想,动心
luxury,奢侈(品),文明,简朴,破旧
lucrative,有利,不利,操纵,不可逾越
assurance,担保,陡然,不料,必定
commodity,物品,动物,植物,宠物
apiece,每个,大众,个人,人们
clutch,抓住,致使,引人注意,免疫
invoice,发票,契据,图片,收据
recur,(疾病)复发,请,学习者,世间
pregnancy,妊娠,梦遗,交媾,犯病
trap,陷阱,束缚,道路,长征
approve,批准,签证,禁止,盖章
qualify,(对词义)限制,保健,操持,改装
rage,大怒,专门性的,介绍,在信封上写姓名
disregard,不管,因为,出于,不堪
integrity,诚实,缓和,叛逆,狡诈
prescribe,规定,裁决,额定,否定
spontaneous,自发,就绪,不妥,大材小用
petroleum,石油,焦油,汽油,酒精
ambiguity,模棱两可,不法,合法,隐约
restless,不安宁的,悲恸,犯愁,痛苦
acquisition,获得(物),做,接见,村民
prostitute,妓女,妈妈,暗娼,帮凶
outcast,被遗弃的,自由,决不,八成
yield,屈服,驯服,说服,打伤
soar,高涨,衰减,涨潮,攀升
stagger,使震惊,放置,(比率)几分之几,招致(非难
collapse,(使)崩溃,增加(进),归于,上等
alternative,取舍?,宾语,脆的,元件
invisible,看不见的,状态,小型,球状
illustrate,加插图于,芭蕉属植物,糟透,有色人种
adjoin,靠近,交界,逼近,堵车
monetary,货币,钞票,辅币,花边
sphere,球体,断面,水准,界面
nothing,微不足道的人或事,航道,识别,压
reveal,显示,反映,说明,预兆
gypsum,石膏,沥青,水泥,石灰
fabricate,制作,酿造,装饰,克隆
caterpillar,毛虫,有学问的,功率,一团
weed,杂草,草,草丛,杜鹃花
morbid,病态,试样,地理,小声
herb,草,杜鹃花,刨花,草丛
shutter,百叶窗,基础,视窗,天安门
nausea,作呕,爱国,博爱,厌倦
consciousness,意识,查出,精通,忘记
irrigation,冲洗法,(拳击中的)空勾拳,由于,各(每)个
minimum,最低,短粗,矮墩墩,最高
embryo,胚胎,本末,最后,病程
destination,目的地,售票处,居所,厂址
resource,)资源,来源,伪证,报应
via,经由,横过,装船,转道
beneficial,有益,迫害,限于,决定
ragged,破烂,碎片,精简,板结
basic,基本,难得,开玩笑,高昂
fare,食物,素食,烟火,饲料
principal,资本,不义之财,不变资本,财物
supersede,淘汰,裁军,削减,补发
snack,快餐,白饭,食物,爆米花
innocent,没有恶意,不满意的,表等走快,途径
mischief,调皮,不羁,悲观,不甘心
enthusiastic,极感兴趣,恭顺,冷淡,索然
beforehand,预先,不单,顿时,日益
nickname,绰号,贵姓,名字,别名
dean,系主任,院长,议长,武官
recognize,承认,鞭挞,推翻,公认
outskirts,郊外,对内,户外,对外
demography,人口统计,孔,仁慈,字母
instruction,命令,宣布,提倡,失控
mingle,混合起来,碰撞,渴望,粉笔
influx,涌入,入境,上车,进入
naval,军舰,北伐军,东北军,童子军
garlic,大蒜,洋葱,香菜,盖菜
proceed,开始进行,广泛,决定,转化
vortex,漩涡,波浪,涟漪,微波
plaintive,哀怨,抱怨,可敬,不共戴天
permanent,永久的,办事员,向上,含义
necessitate,使成为必需,逼债,恫吓,调戏
juvenile,少年,青年,童年,学龄
wilderness,[,大声,劝告,掘
sanity,神志清楚,(使)破产,荡桨,肥皂
blunder,犯大错,因此,其时,目不转睛地看
machinery,(总称)机械,蒸汽机,礼拜堂,动力机
habitable,可居住的,错的,关入笼中,同盟
elevator,电梯,吊车,引擎,织布机
hardy,强壮,通红,纤弱,无力
vegetation,(总称)植物,毒草,莨菪,香草
flow,流动,外流,奔流,漂流
administrative,管理,治理,经理,接管
pebble,小卵石,暗礁,石灰石,大理石
rational,理性,才气,天赋,先见之明
plumb,了解意义,第二,描绘,市民权
graph,曲线图,时间表,波谱,巨著
steak,牛排,素菜,猪肉,豆腐皮
means,方法,兵法,常规,观点
fleet,港湾,管理站,变电站,中转站
marvelous,了不起的,强有力地,急(匆)忙,拒受…的影响
pupil,(眼睛的)瞳孔,六分之一,(缓)慢的,项链
ovation,热烈的欢迎,写,鞭挞,抚摸
restorative,恢复健康,失去,复苏,消灭
stuffing,剥制,生活必需品,香料,卫生设备
plug,塞子,盖子,吊杆,吊架
bureaucracy,官僚主义,不可知论,辩证唯物主义,马克思主义
recipe,菜谱,表册,光谱,留言簿
equipment,设备,材料,显示器,调节器
margin,余地,独木桥,死胡同,捷径
horticulture,园艺学,医学,科研,高科技
infinitesimal,极微小的,立方体的,考虑到,未赶上
culture,教养,教训,打击,转播
smooth,使光滑,保姆,变化,制动器
knit,纺织,包金,漂白,提炼
colonialism,殖民主义,暴政,共产主义,爱国
masculinity,刚毅,脆弱,大刀阔斧,胆小
manure,肥料,化肥,钻石,海绵
make,使,引人注意,抓住,敦促
decode,解码,朋友,直尺,总结
inborn,天生,大材小用,可靠,外来
puncture,刺孔,动手,倾倒,散步
holocaust,大屠杀,暗杀,谋杀,杀人
custodian,管理员,李鹏,肯尼迪,外交部长
telex,电传,传说,流行,谣传
rehabilitate,修复,抢救,防治,治病救人
trait,特性,利害,顺差,弊病
rivet,吸引（注意力）,强烈,把…说成,浮动
quarantine,隔离检疫期,构成,并联,对峙
assortment,配合,科研,类推,综合
tentative,试探性的,使破灭,绷紧,痛苦
suicide,自杀(事件),区分,在楼上的,事实
patron,赞助者,好,国家,束缚
disprove,证明...是不对的,筹集,信息,管辖范围
gravity,庄重,俨然,一触即发,蓬松
wallaby,小袋鼠,最后阶段(或部分),抵制,推选
identification,身份证明,赤黄色,雾气,(大学里的)学院
mercurial,善变,变更,变质,变幻
personality,人格,性行,虐,兽性
proxy,代理人,发言人,主编,专员
static,静态,式样,平衡,小声
salmon,大马哈鱼,鲎,比目鱼,鲨鱼
restore,把…恢复原状,…前,运输,叫
up-to-date,最近,未来,上次,先后
voucher,证人,目击者,发言人,调解人
enhance,提高,安定,减弱,抓紧
tile,瓦片、瓷砖,裂缝,(船、飞机)左舷,粗鲁
harsh,刺耳(目)的,录音(像)机,在的对面,差劲
everlasting,永久,一下子,半天,一会儿
earnest,认真,信赖,确信,信仰
improvise,即席而作,戏院,对…征税,链环
negotiable,可商量的,午后,清楚,国有
pollinate,给……授粉,最,低级,数字
ballet,芭蕾,舞蹈,梆子腔,腔调
outweigh,超过,抑制,约束,制约
vinegar,醋,黑板,春天,争吵
wax,蜡,扣子,摁扣儿,火柴
substantial,牢固,微不足道,强有力,有意思
disarm,解除武装,流,预见,算术
exterminate,消灭,洗刷,消除,克服
perturb,使混乱,缠绕,阻碍,触怒
staphylococcus,葡萄状球菌,多风,在的对面,农场
alcohol,含酒精的饮料,设置,使改方向,下级
queer,奇怪,莫不,忽然,保管
repent,懊悔,愿意,不理,不顾
deserve,应受到,是否,推翻,不足
aspiration,志向,王牌,幻想,暗箭
barter,以物易物,移,喜欢争吵,安排节目
surge,汹涌,稳健,光荣,腐败
roar,轰隆震响,整洁,紧握,获悉
elsewhere,在别处,(嘲笑等的)对象,动物,奖牌
drastic,严厉,宽限,民主,革命
reconcile,使和好,辩解,信仰,清澈
ghastly,惊人,不痛不痒,画蛇添足,紧迫
passage,通道,军港,隘路,水路
arrogant,傲慢,冷淡,不耻下问,慷慨
pension,养老金,经费,小费,零钱
abbreviation,缩写,拍打,写,抚摸
essential,根本,按时,频仍,原先
apply,把…应用于,部队,渴望,辅助
oblige,使感激,快,惊奇,使吃惊
cartoon,卡通片,电影,摇摆,画面
profuse,很多,不乏,半圆,巨额
equitable,公平,开展,落后,进步
famine,饥荒,(比喻)途径,粉红色,矿质
feud,宿怨,欲望,野心,不时之需
wretched,卑鄙,百无聊赖,多情,高尚
outright,彻底,不过,多于,稍微
couch,表达,发明,暗示,表态
date,约会,求婚,婚嫁,调情
pathetic,令人生厌,大概,型,试验
bearing,轴承,齿轮,皮带,绷簧
bachelor,单身汉,寡妇,孤儿,孕妇
prostrate,征服,竖起,衬里,堆
bitumen,沥青,石灰,石膏,水泥
pervert,使堕落,用法,用以,照搬
versus,(诉讼、竞赛等中)…对…,遵守,需要,捐款
tackle,对付,虐待,庆贺,应付
disturbance,骚动,太平,狂乱,和平
flare,闪耀,咆哮,折射,发光
miscellaneous,各种各样,不知凡几,纷纷,整整
chase,追逐,后退,推进,祷告
ease,缓和,放松,转运,改进
bother,费心,打扰,久违,抱歉
shrug,耸肩,孵,设计,在上方
circumference,周长,平坦,不乏,过剩
accordance,一致,在于,属于,附属
slender,细长,憔悴,骨头架子,深深
concave,凹的,神职,频繁,明亮
ban,禁止,许可,盖章,查证
malignant,恶毒,异,之一,慈悲
substantiate,证实,可见,在于,起源
gape,张嘴,吞吐,私语,喋喋不休
exception,例外,异步,同屋,同期
correspond,符合,相配,戏剧性,不合
stabilize,使安定,相关性,公地,和平
amputate,切除,修剪,割,切
reservoir,水库,笼,鸟笼,蜂巢
flu,流行感冒,(外)祖父,世界,缔造者
matriculate,准许入学,备取,任免,委任
inscribe,登记,填充,划,背书
martyr,烈士,豪侠,志愿者,武松
hand,递,相关性,(使)下沉,得到
revolve,旋转,跳动,震动,滚动
gossip,闲谈,阐述,谈到,讲述
aerosol,烟雾,硝烟,霜,薄雾
zoology,动物学,科研,课程,科技
macaque,短尾猿,仔细观察,潜在价值,叙述
mourn,哀悼,挂念,记忆,忘记
encroach,侵占,剥削,讹诈,压迫
stoop,俯身,依偎,横卧,弯腰
conceal,隐藏,抱头鼠窜,退避,避难
finite,(动词)限定式的,牢牢,读书,句点
enquire,询问,狡赖,哀求,推翻
coarse,粗糙,雌雄,雌,人造
sentiment,感情,反感,好感,酸痛
porcelain,瓷器,烟囱,雷达,水槽
ingenious,机灵,糊涂,眼尖,智慧
mire,泥潭,矿泉,泻湖,泳池
beloved,被热爱的,入,作者,养料
ordeal,严峻的考验,公平,追踪,金钱
assign,选定,透视,观测,展望
curve,弄弯,垂直,清瘦,憔悴
avail,有益于,迫害,抑制,超越
spectator,参观者,乘客,客人,本家
contention,论点,产物,起源,恶果
crater,火山口,进口,断口,路口
extensive,广阔,广博,人均,详细
undoubtedly,不容置疑,传神,捕风捉影,十分
sound,健康,可笑,怪僻,滑稽
pertinent,恰当,不违农时,手提,便利
deft,灵巧,能干,本本主义,愚蠢
blame,责备,谴责,揭发,引咎
deflect,(使)偏斜,撒(粉末等),徐徐移动,解决
monopoly,垄断,监控,遥控,责成
odd,奇数,零头,分数,篇幅
evaporate,蒸发,燃烧,焦,溶解
vindicate,为…平反,一心,外来,冲锋
amend,修改,更正,校正,补遗
gimmick,吸引人的花招,忠告,闲话,箴言
factor,因素,命脉,成份,毒素
clause,条款,法律,法制,租约
rectangle,矩形,凹陷,圆周,崎岖
assorted,组合,对称,适应,低于
fluff,软毛,纯粹,断章取义,勉强
shampoo,用洗发剂洗,手柄,个别,发射强光
vibrate,使震动,扔掉,雾气,请求
phoenix,长生鸟,世界,社会,人间
superficial,表面,江面,排队,伪装
appeal,请求,刺探,试探,干涉
authoritative,权威性的,回答,喜欢,戏剧
gear,开动,拔锚,动工,出发
sore,痛处,困难,折磨,失利
longitude,经度,标高,周长,频道
proclaim,宣布,集合,监控,独占
lotus,莲,助手,少有,大量
context,(事情等的)前后关系,实况,暗流,来历
glacier,冰河,黄河,暗河,上流
rarely,很少,顺..前进,保姆,珍视(藏)
shepherd,牧民,半自耕农,农民,猎人
divine,神圣,贪心,贞洁,自私
ethnic,人种,长沙,安曼,开罗
versed,熟练,近视,不可救药,拖拉
instalment,(连载的)一部分,度数,标量,贸易额
occupy,占用,包含,包藏,投稿
steep,陡峭,半圆,崎岖,四方
spiritual,精神上的,是否,章节,什么也没有
turbine,汽轮机,发电机,马达,织布机
qualification,合格证,标志,节,证据
shrimp,河虾,跟踪,选择,公园
dedicated,专注,保重,放心,宽容
fragrance,芳香,淡,斑驳,恶臭
indicator,指示器,电缆,专线,录音机
palpable,明显,不法,有用,可疑
exile,流放,赦免,剥夺,开刀
inflict,处(罚),设,更坏(差)地,烧伤
banish,放逐,镇压,开刀,剥夺
insult,侮辱,引入,动手动脚,引出
utterly,完全,半半拉拉,一定,通通
manifest,表现,并发,突显,含水
pointed,一针见血,密谈,长谈,断言
contingency,意外事件,伸缩性,骄气,性能
quit,停止,停滞,熄灭,关门
commend,称赞,违心,拍案叫绝,抵制
process,加工,流通,交易,对外贸易
shiver,冷颤,失足,绊倒,栽跟头
pastime,消遣,打赌,探险,游荡
album,相片册,意思是,发型,吃东西
competitive,竞争,诅咒,骂,责骂
coil,卷,短篇小说,本子,神话
obstacle,障碍,余烬,赘疣,束缚
realm,领域,材积,大举,单向
request,请求,刺探,试探,不情之请
mortal,致命,活跃,平稳,回旋
workaholic,工作第一的人,浓的,债(务),盲目
fabulous,难以置信,半信半疑,自信,信任
mechanical,机械,糊涂,灵活性,笨拙
saturate,浸透,占有,包含,露出
exponent,说明者,候选人,仆人,选民
cosmetic,美容剂,可不是,提供,出现
ridiculous,荒谬,切实,笔误,精确
reception,接待(室),周报,匹敌,思想家
oblong,长方形,多面体,四面体,球状
combination,联合,并行,只好,独力
medication,药物治疗,培养,温暖,老爱责骂的人
suffer,忍受,尽量,至少,过于
conspiracy,密谋,设计,大煞风景,计算
mystify,使...大为吃惊,男青年,快的,丰富
pertain,属于,取决,归属,一致
conclusive,确实,实质上,简直,仍然
propulsion,推进(力),不利条件,治愈,大量
dangle,悬挂,吊装,罗列,爆裂
undeniable,不可否认,有智慧的,赞扬,按
enclose,封入,通风,堵车,短路
remorse,懊悔,闭门思过,不理,顾及
