#word,meaning,option1,option2,option3
低估,underestimate,unexpectedly,to persist,predict
女性,feminine,feminism,feminist,young
精神错乱,delirium,paralysis,craze,heartless
预料,anticipation,to look forward to,estimate,guess
网眼,mesh,muse,pest,menu
把…编成号,code,one,coil,lode
点燃,ignition,munition,to light a fire,warm
传说,rumor,rumor,to disseminate,fashionable
围攻,siege,silage,singe,sledge
即席,impromptu,relief,throw into battle,turn one's coat
不稳,unrest,wrest,infest,undress
春天,spring,sprint,springy,string
(器具等的)一组,battery,watery,batten,artery
当即,off-hand,just,temporary,as early as possible
腐化,corrupt,correct,routine,cause to develop
精致,delicate,decimate,delegate,dedicate
报账,account,recount,count,accent
保守的人,conservative,upward,joker,boyfriend
两星期,fortnight,foresight,forthright,pitcher
挖掘,excavate,excavator,escalate,to break with both hands
使无效,neutralize,centralize,neutrality,sweeping
胶囊,capsule,capable,castle,capsize
红色印刷,rubric,cubic,fabric,public
特别信使,courier,copier,carrier,corner
无限制的,unconditional,also,instead,wherever
(演员等)试唱,audition,addition,edition,tuition
条理清楚,clear,shear,plea,clean
动物区系,fauna,sauna,fawn,flaunt
会犯错的,fallible,infallible,explicit,tickertape
努力,endeavour,can it be possible that,at will,really isn't
气压计,barometer,parameter,level,staff gauge
目录,directory,director,the whole course of an event from beginning to end,tint
厚厚一片,chunk,purgative,frail,linseed
喧闹,bustle,nestle,rustle,lustre
使有教养,refine,repine,reside,recipe
子宫,womb,bob,job,tomb
贡献,contribute,contrite,submit,to donate
彻底明白,fathom,atom,father,pathos
继续,renew,refer,reek,anew
(胎儿、种子等)能生存的,viable,cable,liable,Bible
(常用复)镣铐,shackle,tackle,sickle,heckle
流行,prevalent,prevalence,prevent,communicate
值得(或引人)注意的,notable,notably,unstable,table
漫游,wander,binder,wonder,danger
政府,regime,recite,regimen,resume
忍耐,endure,ensure,entire,induce
微妙,subtle,subtitle,turtle,settle
作业,assignment,schoolwork,algebra,homework
地震,earthquake,famine,fire ,plant disease
企图,attempt,tempt,attest,be disappointed
蜜饯,conserve,observe,construe,converge
倍,time,hike,tome,dime
异类,heterogeneous,demon,devil,evil
纸卷,scroll,enroll,shrill,unroll
奇异,weird,wind,beard,weary
死后,posthumous,finance,ignore,uproot
诚恳,sincere,insincere,sinker,since
最前部,forefront,spirituous,prate,rock
(进行)威胁,menace,deface,hence,mace
(行为)不规矩,misconduct,frightful,stocky,onion
卡[热量单位],calorie,chlorine,chloride,galore
装饰,decorate,decimate,decorator,detonate
蜡烛,candle,cackle,dandle,handle
视觉,optic,sight,emotion,ill
使合标准,normalize,moralize,playground,headhunter
感激,gratitude,latitude,platitude,day dream
奢侈(品),luxury,usury,augury,shallow
有利,lucrative,curative,insuperable,to step across
信心,assurance,insurance,brushwork,thought
物品,commodity,community,vegetation,necessity
每个,apiece,piece,apace,pierce
抓住,clutch,church,crutch,lunch
发票,invoice,involve,voice,invoke
(疾病)复发,recur,demur,refer,return
妊娠,pregnancy,pregnant,to copulate,wet dream
诱捕,trap,trip,tray,crab
赞许,approve,improve,approval,prove
(对词义)限制,qualify,quantify,nullify,quality
大怒,rage,age,rake,cage
不管,disregard,to sum up,and thus,stem from
诚实,integrity,integrate,straightforward,deceitful
规定,prescribe,describe,proscribe,originally determined
自发,spontaneous,in order,foreign,former
石油,petroleum,kerosene,tar,gas
模棱两可,ambiguity,inwardly,lawful,unlawful
不安宁的,restless,gloomy,ail,to worry
获得(物),acquisition,milky,cockatoo,time
妓女,prostitute,guest,unlicensed  prostitute,vase
被遗弃的,outcast,outpost,outlast,outclass
放弃,yield,field,wield,shield
高涨,soar,roar,poor,spoor
蹒跚,stagger,swagger,stranger,snigger
(使)倒塌,collapse,collate,attic,pigheaded
两者择一,alternative,damnation,equivalent,grassy
看不见的,invisible,visible,divisible,invincible
举例说明,illustrate,reaffirm,to publish,vindicate
贴近,adjoin,join,rejoin,adjourn
货币,monetary,momentary,paper money,yellow croaker 
(活动)范围,sphere,there,spree,severe
微不足道的人或事,nothing,clothing,anything,thing
泄露,reveal,cereal,repel,veal
石膏,gypsum,lime,asphalt,cement
捏造,fabricate,abdicate,lubricate,cause trouble
毛虫,caterpillar,tollgate,widow,uneasy
杂草,weed,week,heed,head
病态,morbid,forbid,turbid,torpid
草,herb,here,kerb,hers
(相机)快门,shutter,flutter,spotter,shatter
作呕,nausea,cause,nauseate,pause
意识,consciousness,have an insight into,to discover,to know
灌溉,irrigation,irritation,open up,administer
最低限度,minimum,minibus,maximum,minimal
胚胎,embryo,emery,embargo,course of disease
目的地,destination,site,polling station ,network station
)资源,resource,recourse,renounce,source
经由,via,vie,him,rib
有益,beneficial,to decide,persecute,insurmountable
破烂,ragged,harden,frozen stiff,unfinished
基本,basic,bass,base,basin
车费,fare,fake,age,fade
校长,principal,principle,president of a club, committee, etc.,head of an institute, etc.
淘汰,supersede,supervene,buy one's ticket after the normal time,lengthen
快餐,snack,slack,snail,smack
幼稚,innocent,indecent,indolent,insolent
调皮,mischief,just like,generous,to hang around
极感兴趣,enthusiastic,dull,pride,deferent
提前,beforehand,forehand,to speed up,with a wavy motion 
绰号,nickname,what is your name,name and surname,pen name
系主任,dean,delay,deck,dual
公认,recognize,pry,to accuse,negative
郊外,outskirts,pertaining to external or foreign ,except for,domestic
人口统计,demography,geography,xerography,upon
命令,instruction,give somebody a task,make an exhibition of oneself,general mobilization 
混合起来,mingle,jingle,single,mangle
涌入,influx,flux,inflow,introduction 
军舰,naval,cavil,canal,natal
大蒜,garlic,parsley,spinach,onion
继续(做某事),proceed,process,interpret,tunnel
漩涡,vortex,porter,vote,voter
哀怨,plaintive,plaintiff,loathe,have a gnawing regret
永久的,permanent,pertinent,seller,gloat
使成为必需,necessitate,stir up,manage  with difficulty,intimidate
少年,juvenile,youth,childhood,marrying age
[,wilderness,innuendo,veer,herb
神志清楚,sanity,sanctity,vanity,sandy
大错,blunder,plunder,slander,under
机构,machinery,machine,authorities,political power
可居住的,habitable,heritable,sentence,if
电梯,elevator,elevate,elector,elevation
强壮,hardy,hardly,narky,parry
(总称)植物,vegetation,vegetarian,Chenopodium album,lichen
流,flow,flex,flop,fallow
管理,administrative,govern,manager,be in charge of
小卵石,pebble,feeble,gobble,bubble
理性,rational,national,optional,regional
精确,plumb,dumb,plume,club
曲线图,graph,gash,gripe,grape
牛排,steak,stern,streak,steam
方法,means,routine,neutral,technique of writing
港湾,fleet,flee,alert,flue
奇异,marvelous,hate to leave a place where one has lived long,fear,usual practice
学生,pupil,peril,quail,puppy
热烈的欢迎,ovation,oration,donation,vocation
恢复健康,restorative,recovery ,ruin,ease
剥制,stuffing,spice,sanitary equipment,fuel
塞子,plug,log,plod,lung
官僚主义,bureaucracy,dialectical materialism,jurisprudence,Marxism
菜谱,recipe,retire,precise,receive
设备,equipment,sanitary equipment,browser ,radar
页边,margin,bargain,marginal,virgin
园艺学,horticulture,subject,architecture,psychology
极微小的,infinitesimal,starter,tragedian,hillside
文化,culture,sculpture,vulture,cultural
温和,smooth,smith,month,shoot
(使)紧密地结合,knit,unit,emit,pit
殖民主义,colonialism,protectionism,republic,socialism
刚毅,masculinity,know one's place,weak,valiant
肥料,manure,mature,mangle,measure
等于,make,lake,gaze,rave
解码,decode,depose,decide,decade
天生,inborn,unborn,intern,inform
刺孔,puncture,to go for a walk,to start work,empty out
大屠杀,holocaust,homicide,murder,assassinate
管理员,custodian,prime minister,general-secretary ,the Sudan
电传,telex,tenet,tile,teem
修复,rehabilitate,criticize a person in order  to help him,rescue,feel  the pulse
特性,trait,trace,grit,craft
铆钉,rivet,riot,covet,rivulet
隔离检疫期,quarantine,to interoperate,mutual confrontation,to make up
配合,assortment,speculative,research,to synthesize
试探性的,tentative,silent,hilly,forbear
自杀(事件),suicide,subside,dodge,license
主顾,patron,matron,pathos,baron
证明...是不对的,disprove,disapprove,dispose,disrobe
严重,gravity,brevity,rarity,granite
小袋鼠,wallaby,allay,waylay,fallacy
身份证明,identification,import,dell,revision
善变,mercurial,to evolve,change irregularly,modify
名人,personality,Hertz,Columbus,important person
代理人,proxy,crony,prop,parody
静态,static,stain,statue,italic
大马哈鱼,salmon,eel,shark,octopus
归还,restore,restart,rector,retire
最近,up-to-date,the day before,last month,last time
证人,voucher,vouch,presiding judge,agent
提高,enhance,chance,entrance,consolidate
瓦片、瓷砖,tile,tide,toils,tie
粗糙,harsh,hare,marsh,harass
永久,everlasting,real time,temporary,all
认真,earnest,garnet,arrest,harness
即席而作,improvise,improve,carmine,advice
可商量的,negotiable,negotiate,dancer,heathen
给……授粉,pollinate,begrudge,pull,vegetation
芭蕾,ballet,wallet,valley,billet
超过,outweigh,to restrict,to inhibit,to decide
醋,vinegar,linear,vineyard,roughshod
给…打蜡,wax,walk,fax,ear
相当,substantial,not beyond the scope of,quite,the greater part
解除武装,disarm,diary,discard,airbus
消灭,exterminate,extinguish,to sweep away,quench
使混乱,perturb,aperture,perjury,perjure
葡萄状球菌,staphylococcus,conscript,soar,boat
含酒精的饮料,alcohol,alcoholic,intuition,nurseryman
奇怪,queer,outer,queen,cheer
懊悔,repent,repeat,recent,reject
应受到,deserve,desire,reserve,deceive
渴望,aspiration,admiration,expiration,require
以物易物,barter,barrier,barrel,water
汹涌,surge,budge,curve,gorge
轰隆震响,roar,spar,soar,boar
在别处,elsewhere,bole,torture,initiative
激烈,drastic,plastic,elastic,dramatic
调停,reconcile,recondite,to format,preparation
惊人,ghastly,hasty,ruin the effect by adding what is superfluous,to know well
通道,passage,sausage,passable,massage
傲慢,arrogant,arrant,arrogate,deferent
养老金,pension,tension,person,cession
缩写,abbreviation,flap,carry on one's shoulder,clap
)本质,essential,tone ,abstract,speech
申请,apply,appal,sappy,ally
使感激,oblige,obligate,online,beige
(报刊上的)漫画,cartoon,carton,croon,caution
很多,profuse,produce,arouse,prose
公平,equitable,equable,excitable,suitable
饥荒,famine,canine,mine,family
宿怨,feud,desire,greedy,indignant
不幸,wretched,wretch,to rise to power and position,smoothly
彻底,outright,upright,outfight,completely
表达,couch,touch,cough,pouch
起,date,tape,cake,pate
令人生厌,pathetic,esthetic,athletic,duress
轴承,bearing,leather belt,gear,spring
学士,bachelor,author,pale-faced scholar,painter
征服,prostrate,hold up,a mass,thrust
沥青,bitumen,lime,plaster,cement
使堕落,pervert,percent,perfect,revert
(诉讼、竞赛等中)…对…,versus,Jesus,virus,verse
用具,tackle,tickle,crackle,cackle
骚动,disturbance,not throw the troops into battle,ungrateful,depression
闪耀,flare,glade,bare,flame
各种各样,miscellaneous,polysaccharide,respective,few
追逐,chase,chalk,chance,whose
容易,ease,male,cease,safe
打扰,bother,brothel,other,mother
耸肩,shrug,shrub,strum,hug
周长,circumference,four-way,arch,rugged
一致,accordance,of the same age,to be united in action,subordinate
细长,slender,gender,sender,slander
凹的,concave,conclave,concise,conceive
禁止,ban,brag,sag,rat
恶毒,malignant,merciless,mercy,good and honest
证实,substantiate,sign,to come from,to reveal
张嘴,gape,pale,gale,hate
例外,exception,inception,reception,perception
通信,correspond,a speech,to communicate,grunt
使安定,stabilize,stability,sterilize,boyfriend
切除,amputate,panning ,trim,cleave
水库,reservoir,snare,nest,honeycomb
流行感冒,flu,flue,blur,flop
准许入学,matriculate,appoint,be on the waiting list ,to appoint and dismiss
登记,inscribe,describe,ascribe,repeat a lesson
烈士,martyr,mortar,marry,master
递,hand,cad,band,grand
旋转,revolve,evolve,revoke,devolve
闲谈,gossip,fossil,mention,to post 
烟雾,aerosol,smoke ,frost,stratus 
动物学,zoology,apology,geology,ecology
短尾猿,macaque,manhandle,quarter,homicidal
哀悼,mourn,pour,urn,mouth
侵占,encroach,blackmail,corruption,to plagiarize
俯身,stoop,storm,droop,soup
隐藏,conceal,cancel,congeal,concede
有限,finite,infinite,invite,minute
询问,enquire,enquiry,inquire,entire
粗糙,coarse,core,parse,coast
伤感,sentiment,sentient,sediment,mixed feelings of grief and joy
瓷,porcelain,white pottery ,porcelain,pleased
机灵,ingenious,ingenuous,stark,fearless
泥潭,mire,wire,fire,rice
被热爱的,beloved,belated,partiality,group
严峻的考验,ordeal,order,deal,ideal
选定,assign,sign,assist,passion
曲线,curve,verve,curl,cure
有益于,avail,ail,assail,snail
参观者,spectator,parents of one's daughter-in-law or son-in-law,a distant relative with the same family name,guest
论点,contention,the whole story,retribution,evil
火山口,crater,crate,draper,scraper
广阔,extensive,expansive,expensive,extension
不容置疑,undoubtedly,not just in name only, but also in reality,baseless,chase the wind and clutch at shadows - make groundless accusations
正当,sound,pound,sauna,stud
恰当,pertinent,permanent,no good,trouble
灵巧,deft,vent,defy,debit
把…归咎于,blame,lamb,plume,blare
(使)偏斜,deflect,defect,effect,reflect
垄断,monopoly,monopsony,to announce,to monitor
古怪,odd,odds,lode,wad
蒸发,evaporate,elaborate,worried,melt
为…平反,vindicate,indicate,uncouple,damage
修改,amend,arena,blend,upend
吸引人的花招,gimmick,ode,directives or instructions,gossip
因素,factor,factory,tractor,actor
条款,clause,clasp,coarse,classy
矩形,rectangle,entangle,all,flat
组合,assorted,unpractical,dramatic,symmetry
软毛,fluff,bluff,flute,buff
洗头,shampoo,to rinse,flit,wash
使震动,vibrate,vitiate,vibrant,pirate
长生鸟,phoenix,world,man's world,pre-existence
肤浅,superficial,small and weak,mighty,deep
吸引,appeal,appal,anneal,appear
权威性的,authoritative,arboreal,paraphrase,cropper
用具,gear,near,fear,per
痛处,sore,sort,shire,siren
经度,longitude,sensitivity,size,Hertz
宣布,proclaim,reclaim,gather,have something all to oneself
莲,lotus,bonus,penitence,site
(事情等的)前后关系,context,contest,content,connect
冰河,glacier,glazier,glacial,stream
很少,rarely,barely,rally,rarity
