#word,meaning,option1,option2,option3
低估,underestimate,reasoning,suspect,anticipate
紫外线的,ultraviolet,beaker,haughty,journalism
模仿,mimic,mime,mini,timid
岩石圈,lithosphere,windscreen,bungalow,jiggle
亲切,tenderness,indispensable,desperately serious,as incompatible or irreconcilable as ice and hot coals
合作,cooperative,to attempt,fully displaying one's capabilities,to put out
独奏者,soloist,sophist,colonist,unkempt
盛行,dominate,nominate,abominate,donate
苍白,waxy,gray,a vast expanse of whiteness,brown
使成合金,alloy,also,alley,gallop
洋娃娃,doll,mole,duly,dial
餐具,tableware,prototype,pump,disk
警告,caution,caption,carton,cartoon
拥护者,advocate,advocacy,allocate,voter
非正式的,casual,usual,canal,nasal
讨厌,troublesome,loyal to,will not live under the same sky  - absolutely  irreconcilable,love and hate
悬崖,bluff,buff,blunt,snuff
前进,progressive,bring up the rear,to construct,stride forward with one's chin up
打扰,annoy,envoy,annex,nanny
（灵魂）重生,regeneration,decline ,beginning or continuing an action,exactly
歪曲,distort,distant,disturb,discord
费力,arduous,ardour,very difficult ,advanced
狒狒,baboon,baron,boon,taboo
谦卑,humility,humiliate,humanity,utility
补助金,subsidy,subside,subsist,loan
刺激物,stimulant,stimulate,vitamin,laxative
易弯曲的,flexible,legible,inflexible,closely
抒情诗人,lyricist,tarmac,washout,dexterous
工业化,industrialization,become apparent,make more youthful,multipolarity
外部,external,maternal,internal,paternal
水族馆,aquarium,background,decorative,historical sites
果园,orchard,orchard,Taoyuan ,greenhouse
符号论,symbolism,agnosticism,scholarship,learning
转移,transfer,transform,transfix,frequency conversion
美洲或欧洲的野牛,bison,lion,prison,disown
教育学,pedagogy,pedagogue,statistics,anatomy
抑制,restraint,restrain,restrict,welfare
滴,trickle,freckle,prickly,tickle
日程,agenda,agency,arena,magenta
危及,endanger,danger,help relieve ,law and order
美学,aesthetic,esthetic,philosophy,politics
极重要的,vital,visa,ritual,viral
填早...的日期,antedate,antidote,sprinkle,quip
乐于助人,accommodating,sag,itemize,poison
溢出,spill,trill,pill,ill
最后通牒,ultimatum,ultimate,will,archives
排列,rank,hank,lark,tank
有能力的,capable,capsule,cable,taxable
脚手架,scaffolding,bedding,bookshelf,quilt
用茅草覆盖屋顶,thatch,that,hatch,patch
身分,standing,world,evil wind,antiquity
适当,fittingly,troublesome,futile,not miss the farming season
适合,suited,symmetrical,very friendly,coordinate with
纬度,latitude,platitude,aptitude,attitude
屏幕,screen,screed,siren,creed
强制性的,obligatory,trying to put out a burning cartload of faggots with a cup of water - an utterly inadequate measure,hard to ,futile
份量,deal,peal,zeal,peak
（使）蒸发,vaporize,shear,inbred,undulate
漫滩,floodplain,sofa,possessive,variance
满意,satisfaction,abandoned idea,relaxed,calculation
景色,scene,serene,stele,cede
好战,militant,militate,military,civil strife
石墨,graphite,graphic,granite,ink
气泡,bubble,dabble,jumble,babble
海港,harbor,city and countryside,management station,hub 
福利,welfare,warfare,to surpass,disadvantageous
近程,short-range,long distance,total ,span
福音,gospel,hostel,compel,dispel
切割成锯齿状,indent,infest,invest,index
分辨率,resolution,absolution,revolution,solution
小心,careful,artful,harmful,wakeful
家具师,cabinetmaker,profit,precis,bird
纤维,fiber,height,small size,narrow
得出,elicit,felicity,elect,edict
才能,talent,lament,tent,taint
方言,idiom,idiot,axiom,doom
显赫,grand,grab,errand,frank
贫瘠,arid,quid,prig,afraid
孵卵所,hatchery,witchery,hatchet,menace
免疫性,immunity,community,impunity,immensity
有信心的,confident,confidence,continent,condiment
分析,analyze,quantitative analysis,quest,research
使恶化,aggravate,aggregate,singer,vex
公用事业设备,utility,utilize,humility,ability
喷出,erupt,rust,fruit,abrupt
记账,tally,sally,tall,rally
演示,demonstrate,remind,correspondence course,to guide
在水中的,submerged,slump,spurt,pour
引用语,quotation,notation,nutation,rotation
选择,selection,election,reflection,detection
前景,prospect,respect,prosper,prospectus
持久,lasting,weighing every word,close,thrifty
直言不讳,plainspoken,grunt,to make irresponsible remarks,to take in and send out 
发生,originate,original,issue,to erupt
流星,meteor,meter,method,deter
整体,integral,internal,integrate,interval
陶工,potter,poker,totter,poster
杰作,masterpiece,schedule,sb.'s original handwriting or painting,monumental  work
先例,precedent,precedence,president,preceding
解决,resolve,devolve,revolve,resolute
新闻业,journalism,journalist,shipping,post and telecommunications
以文字损害名誉,libel,label,line,lively
基本,elementary,alimentary,elemental,low
协调,coordinated,equilibrium,balanced,periphery
包含,inclusive,incisive,illusive,conclusive
需要,imperative,operative,to supply,to satisfy
懊恼,chagrin,chain,to take one's anger out on sb ,miserable
一大群,horde,lord,hide,holder
极大,enormous,venomous,fine,medium
否认,deny,tiny,dune,bony
灵长目动物,primate,prate,cremate,promote
防腐剂,preservative,poison,nourishment,heroin
繁殖,proliferation,undomesticated,grow,alive
羞辱,humiliate,humility,stain,attain a result
音乐剧,melodrama,TV drama program,one-act play,comedy
指示,indicative,indication,indicate,inductive
攫取,grab,grey,gram,graph
巨大,vast,cast,vase,valet
巡逻,patrol,patron,petrol,matron
保护,preserve,presence,reserve,deserve
沟,trench,drench,stench,French
难住,perplex,purple,people,bitumen
可忽略的,negligible,eligible,it doesn't matter,urgent
矫饰,pretense,hide behind,to hide,denounce
成熟,ripe,ridge,time,rage
强烈打击,pound,impound,sound,proud
足够,adequate,inadequate,equate,extract
表现,rendering,make something prominent,watery,to reappear
胁迫,threateningly,to draw into,seduce,forcibly
所有者,proprietor,propriety,factory owner,master
四分之一,quarter,quartet,quartz,quart
承担(责任),assume,assure,assuage,astute
远程,long-range,indistinct,make light of traveling a thousand li,open 
四季不断,perennial,all day long,many years,perpetual
含糊,vague,vogue,value,plague
拨款,appropriation,charge,transfer money from|into an account,to settle accounts
给与,bestow,bestir,bestrew,stow
论题,thesis,theirs,their,theism
掩盖,mask,yank,hack,mast
潜伏,latent,lament,latest,tent
席卷,sweep,sweet,seem,sheet
恩惠,boon,noun,noon,boom
编织,braid,bran,frail,bait
先驱,forerunner,grandson ,pioneer,daughter's daughter
草场,lawn,saw,maw,yawn
松类,conifer,arbor,lemon,Chinese ilex
总教堂,cathedral,laud,pragmatism,secondhand
同伴,companion,comparison,compassion,communion
仓库,repertory,garage,power plant,fort
鉴定,identify,identity,supervise and urge,to comment on
媒介物,vehicle,stagnant,gild,aversion
集合,assemblage,assemble,to bid farewell to,for a long time
复制品,reproduction,goods,output,stock
主要都市,metropolitan,brutalize,lung,fortieth
淹没,inundate,innate,lower,flow
横幅,banner,manner,banker,bonnet
不动产,estate,stage,statue,state
刷新,refurbish,later,poison,to update
归纳,generalize,generality,centralize,to reason by analogy
珍爱,cherish,churlish,perish,chemist
如画,picturesque,currently existing,beautiful,can't
好交际的,outgoing,outlying,outgoings,naughty
（使）变形,transform,transfer,transport,emotional
衰退,flag,flay,flaw,flue
显赫,distinction,bright,immortal,corruption
一年一次,annually,anniversary,certain year,next year
看出,discern,cistern,discard,discord
区域,zone,ozone,hone,hose
整理,arrange,derange,range,strange
改革主义,reformism,hint,composer,paragraph
打草稿,sketch,switch,sketchy,snatch
僵化的事物,fossil,gossip,foil,detain
限制,restriction,provoke,impose by force,sanctions
使古旧,antiquate,love me,oblivion,to abstain from voting
添加剂,additive,adoptive,addition,hemp
麻雀,sparrow,sorrow,narrow,parrot
(个人)副业,avocation,location,vocation,aviation
意图,intention,invention,inception,detention
照明,illuminate,illumine,refraction,dart
老练,diplomatic,grand talents mature slowly,practiced,myopia
想到,occur,scour,occult,recur
可拉长的,tensile,senile,tenable,tension
色素,pigment,payment,figment,segment
天文学,astronomy,gastronomy,autonomy,astrology
咨询,consult,consul,conduit,consist
传说,legend,emend,depend,defend
（河流、烟等）出口,outlet,gullet,cutlet,outlaw
共栖,symbiotic,to give one's life,activity,breeding
完美,perfect,pervert,imperfect,percent
忍受,tolerance,tolerant,tolerate,tolerable
热心,enthusiasm,ice-cold,guests feel at home,dull
冰柱,icicle,bicycle,cycle,circle
山顶,summit,summer,suit,summat
省略,elliptical,elliptic,sole,unlimited
有能力的,competent,complement,compete,component
大胆,daring,sensible,to understand,handy
点滴搜集,glean,clean,clear,flea
全部,overall,overhaul,overawe,overact
寺庙,temple,tipple,topple,simple
陶器,pottery,potter,otter,battery
巡警,patroller,secret agent,pacesetter,secret service
斑纹,stripe,strive,stride,strike
纲要,skeleton,speech,summary,tone 
人道主义者,humanitarian,paymaster,outbreak,bespoke
匿名,anonymous,tell a lie,maintain secrecy,reproach
旋律优美,melodious,petty,elation,splendid
直径,diameter,diabetes,Hertz,power
神,deity,city,deify,unity
嗅觉,olfactory,intuition,remote sensing,sensibility
街区,block,look,blink,clock
无害,harmless,heartless,harness,hardness
口语,colloquial,topic,Sanskrit,Hindi 
喷雾,spray,stray,sprat,splay
分开,division,vision,revision,divisor
浮现出来,surface,outface,suffice,surname
表示,representation,it could even be said,to mirror,indicate
改造,reclamation,lay a foundation,to construct,start building
支流,subsidiary,cataract,glacier,underground river
垫子,bolster,holster,monster,bluster
侍者,attendant,ascendant,attendance,maternal grandfather
发展,evolutionary,to move forward ,promote,bring up the rear
吸收（液体、知识）,absorb,absurd,abort,abhor
冰的,glacial,labial,racial,glacier
使隶属,affiliate,officiate,club,soluble
使成为空,empty,tempt,imply,amity
无味,bland,slang,land,blame
结实,stout,sort,sport,strut
海报,poster,foster,powder,oyster
压缩,condensation,natural selection,to make an extra effort,disarmament
提出,frame,flame,craze,ramp
生理学,physiology,journalism,geology,zoological
滑翔机,glider,glade,gender,elide
调整,adjustment,allocate and transfer,to allocate,allocate
咨询服务,counseling,enlighten,solemnize,daughter
贬值,depreciation,go down in price,fall,sunset
震动,jolt,jilt,sort,goat
外科医生,surgeon,burgeon,surge,surgery
监禁,imprisonment,testimony,to bring a lawsuit against,reeducation through labor
魔法,magic,maxim,panic,maim
相互连接,interconnected,redress,abdomen,molasses
管弦乐队,orchestra,orchestral,chorus,an association
（气味、味道）刺激性的,pungent,urgent,tangent,interesting
用具,appliance,alliance,receptacle,name-brand product
标准化的,standardized,oblige,hectic,negligible
独居,solitary,salutary,sanitary,military
精神错乱,delirium,heartless,paralysis,craze
期望,anticipation,aspire,suspicion,unexpectedly
炭,charcoal,spirit,whisk,volt
巨石,boulder,moulder,bounder,shoulder
弹簧,spring,string,springy,sprig
（天然资源的）保护管理论者,conservationist,dress,penal,chain
脆的,delicate,dedicate,decimate,indelicate
户头,account,amount,count,accent
不负责任,irresponsible,flounder,Aids,blouse
守旧,conservative,democracy,act in an arbitrary fashion,impartial
祖先,ancestral,posterity,descendant,ape man
前进,progress,regress,process,profess
挖掘,excavate,excavator,escalate,to pluck
和声,harmonic,bass,to click one's tongue,soprano
遮光物,shade,shame,fade,shave
抵消,neutralize,centralize,neutrality,extant
力大无比,herculean,fine,coarse,strong
使均匀,homogenize,dawn,damage,diabolic
温暖舒适,snug,gnu,sour,smug
送急件的人,courier,collier,counter,carrier
（对艺人的）面试（试演|试唱）,audition,addition,auction,ambition
动物群,fauna,vaunt,sauna,flaunt
新闻事业,journalistic,enrol,countless,casino
预示,foretell,retell,forestall,to come from 
大块,chunk,desirable,jog,chasten
乐观,optimistic,optimist,unruly,unwilling
喧闹,bustle,hustle,bungle,rustle
精炼,refine,refute,defile,repine
同情,sympathy,an understanding,considerate,to be willing to part with 
使更新,renew,renewal,reel,gene
可行,viable,cable,liable,pliable
防水,waterproof,narrowly and luckily escape,scruple,to evade
艳丽,flamboyant,old-fashioned,elegant,glitter
景色,vista,visa,misty,visor
流行,prevalent,prevalence,prevent,hereditary
龙虾,lobster,mobster,monster,rooster
名人,notable,portable,notably,noble
政治制度,regime,reside,revive,regimen
承受,endure,injure,induce,inure
微妙,subtle,stubble,subtitle,shuttle
分配,assignment,book a whole theatre,cash,farmer
地震,earthquake,disaster caused by hail,famine,fire 
大豆,soybean,legumes,cucumber,pumpkin
行政官,administrator,physician,angelic,robin
尝试,attempt,tempt,attest,simmer
可长期保存的食物,conserve,converse,observe,construe
异类,heterogeneous,soul,evil,Western countries
怪诞,weird,heir,wiry,weir
攀爬,scramble,ramble,shamble,scribble
宪法修正案,Amendment,bad,ribaldry,permute
死后,posthumous,a hundred years,one after another,in a few days time
前景,outlook,outdoor,outwork,panoramic view
细分,subdivision,mixture,assign,incorporate in
最前沿,forefront,to rush ,break up in discord,to drop 
危险物,menace,enact,deface,fence
适合,suit,skim,swift,shunt
波动,wavy,easy,zany,any
棉被,quilt,quiet,guilt,squirt
修饰,decorate,desolate,decimate,decorator
改善,amendment,to improve,spoil,transportation
未施肥的,unfertilized,bookstall,fiery,elixir
奢侈,luxury,usury,augury,serious
赚钱,lucrative,curative,make a big fuss over a minor issue,economy
商品,commodity,community,groceries,assembly
抓住,clutch,crutch,clinch,lunch
复发,recur,return,rector,refer
陷害,trap,drop,crap,pram
赞成,approve,reprove,approval,improve
大提琴,cello,callow,hello,sell
风尚,rage,hare,ride,tag
漠视,disregard,weight,discrimination ,take care of oneself
繁殖,reproduce,produce,alive,breeding
正直,integrity,integrate,honest,greedy
指示,prescribe,describe,proscribe,prohibition
纪录片,documentary,scene,film,wag
自发,spontaneous,using a talented person in an insignificant position,original,reliable
无疑,unquestionably,not just in name only, but also in reality,to influence,false
石油,petroleum,gas,tar,alcohol
