#word,meaning,option1,option2,option3
重新点燃,rekindle,chafe,labyrinth,promotion
能分解成因子的,factorable,gallivant,infantry,frolic
覆盖料,mulch,millionth,port,periodical
戒律,commandment,grammar,sentence,international law
肮脏,sordid,horrid,sortie,morbid
撕裂,rend,emend,menu,bed
炼狱,purgatory,stock market,case,boundary
狂喜,transport,transpire,transpose,transform
太少,exiguous,superfluous,short,loss
誓绝,forswear,forbear,forfeit ,discard
同时发生,synchronous,lugubrious,jobbing,sapper
制定(法律),enact,exact,eject,snack
泰然自若,collected,collector,collect,thirsting or hungering for sth.
彩票,lottery,battery,letter,totter
充满压力,stressful,warrior,rejoice,unknowing
活泼,vivacious,vicious,veracious,vicarious
惊叫,exclaim,declaim,acclaim,claim
盾,shield,field,shred,child
擦掉,erasure,treasure,eraser,measure
真实性,veracity,not just in name only, but also in reality,false,completely
橡实,acorn,terminal bud,stem ,gifted
疏忽,omit,wit,vomit,mitt
巩固,consolidate,to postpone,ups and downs,to bring forward
坚持细节之人,stickler,fowl,accompany,plenty
泼凉水,dampen,damp,damn,dapper
繁殖,proliferate,to be born,breeding,grow up
钙化,calcification,to turn into,fusion,diversification
表示异议,demur,emir,detour,demure
恼火,vex,vie,fox,via
(病)大范围流行的,pandemic,endemic,vanish,rose
稳定,stability,liability,ability,stabilize
杂役,factotum,superintend and support,city,military attache
实况报道,commentary,momentary,voluptuous,priority
愚笨,asinine,abject,not unwise,slow 
推迟,adjourn,adjoin,adorn,sojourn
免除,exemption,scrub,purge,to sweep away
胜任,competence,competent,serve for another term of office,fixing of farm output quotas for each household
责骂,reprove,reprieve,remove,approve
高级教士,prelate,ember,sagacious,cosmos
主要产品,staple,stale,shape,stable
喇叭,trumpet,trumpery,trump,espionage
嚎叫的人或动物,howler,holler,hover,power
克服,surmount,surround,to resolve,quench
遗产,legacy,lunacy,lacy,legal
圣歌,anthem,antler,them,ahem
平心静气,dispassionate,unruffled,be at a loss,to hesitate
授权,authorize,authority,to give ,transfer
无畏,intrepid,one's mind is perturbed,to astonish,lingering fear
废止,abrogate,abnegate,arrogate,degradation
名声,repute,resume,depute,deputy
踩踏,tread,trend,dead,streak
灌木,shrub,scrub,shrug,shroud
小型马,pony,correct,raindrop,east
注解,gloss,glow,gross,loss
暂时,impermanent,real time,momentary,all
唯利是图,venal,seal,penal,veal
恭维,compliment,complement,compliant,to fawn on
马虎,slipshod,serious,cautious,take seriously
垂直,perpendicular,short and thick,parallel,languish
大肚子的,paunchy,intersect,startle,earful
(用腐蚀性物质或烙铁)烧灼(表皮组织)以消毒或止血,cauterize,tit,gastronomy,ballad
腐肉,carrion,transistor,peccadillo,beloved
宇宙,cosmos,common,cosmic,constellation
使愤怒或激动,enflame,formality,replace,acrobat
粘的,viscous,juridical,spittoon,vile
持续,enduring,at any time,on schedule,original
不公正,inequity,facetious,another,parameter
剥削,exploitation,past one's prime,oppression,abduct
预感,forebode,foregone,inspiration,perception
不妥协的,intransigent,unlike,obstinate,rim
蹲下,squat,quart,quay,seat
木偶,marionette,a drum-shaped rattle,kite,doll
要求严格纪律的人,martinet,store,footpath,medical
削价与(竞争者)抢生意,undercut,seagull,trample,scalp
混合,intermingle,surround,cross,transport
身心疲惫,languor,languid,delicious,resurrect
伐木工,lumberjack,stylish,myopic,population
短暂、突然且猛烈的风暴,squall,squalor,squat,equal
倒数第二,penultimate,planter,midmost,yap
通知,apprise,appraise,arise,approve
有条纹的,striated,coarse,stammer,emir
赔偿,restitution,mortgage,atonement,damages
憎恨,abhor,labor,anchor,actor
不吉利的,ill-omened,forge,healthy,never
马赛克,mosaic,cosmic,mystic,prosaic
顽强,dogged,do whatever one pleases,determined,swift and fierce
跑过,outstrip,becalmed,inverse,beauty
士气,morale,movable,moral,more
病毒性的,viral,venal,veal,via
巡回,itinerant,itinerary,develop simultaneously,to continue
呼吸,respiratory,to groan,to shout,pronunciation
姿态优雅,lissome,firm,short and small,harden
挂毯,tapestry,list of items,rug,carpet
刻苦研究,lucubration,patter,shin,tractor
(清楚地)表达,enunciate,certainty,theory,rider
免职,deposition,opposition,depositor,exposition
产生,engender,gender,engineer,to come out one after the other
整洁漂亮,dapper,damper,nipper,dagger
发电机,dynamo,dynamic,motor,steamer
下来,descend,descent,rescind,defend
算术,arithmetic,square ,research,scholarship
妨碍,hindrance,foment,exert ,to bound
加强,strengthen,strength,to deepen,to improve
房客,tenant,enact,tenancy,pendant
椽子,rafter,rather,banter,after
凶兆,portent,portend,potent,orient
上升,ascend,ascent,accent,aspen
(公共)卫生,sanitation,capitation,salutation,agitation
有创见的,inspired,provide,varsity,capitalize
无力偿还,insolvency,to go bankrupt,not do one's best,to succeed
预兆,ominous,heinous,luminous,odious
摧毁一切的强大力量,juggernaut,waver,moppet,pinch
有绒毛的,fluffy,shoe,signaller,contort
慷慨援助,largesse,thorax,career,easel
(三角形)中线,median,notorious,perpetual,emissary
不受拘束,coltish,rendezvous,engender,kindness
延迟,procrastination,accelerate,with a wavy motion ,consolidate
酷热,scorching,very cold,provisional,airtight
不直,skew,nestle,wiggling,to lean on
装扮,pretend,pretext,pretence,portend
削弱,vitiate,satiate,initiate,violate
挫折,frustrate,fall to enemy occupation,not do one's best,to succeed
致命性,fatality,finality,facility,totality
见证,testify,rectify,certify,terrify
故态复萌,backslide,backside,worsen,afterwards
一大群,throng,thong,throne,through
使安静,pacify,pacific,ratify,purify
使非常疲倦,exhaust,embroider,evening,writhe
冷漠,nonchalant,dull,polite,be concerned about face-saving
攀登,scale,snake,score,scald
串通,collude,tell tales,to compute,to harm
衰弱,debility,ability,senility,nobility
党派支持者,partisan,mien,gait,submission
不足,deficit,definite,elicit,depict
敌意,enmity,entity,empty,unity
订购,subscribe,subscriber,mail order,rushing to buy
钱币学的,numismatic,straiten,besotted,upturn
巨大,gargantuan,grand,OK,strong soldiers and sturdy horses - a well-trained and powerful army
精湛技巧,virtuosity,baseless,may,be worth reading a hundred times
傲慢,hauteur,neither overbearing nor servile,tight,enthusiastic
否决,veto,etc,vet,vat
(牛的)生皮,rawhide,trolleybus,mink,outskirts
正式宣布某事,declare,decade,decline,deplore
清唱剧,cantata,tragicomedy,one-act play,comedy
受到曲解,distorted,to turn round,turn,smooth
(使)浮于空中,levitate,moon,condom,retard
雄伟,majestic,arduous,in poor health,insignificant
大摇大摆地走,swagger,stagger,wager,snigger
使...不复存在,extinguish,supplicant,fall,spotlight
(戏剧)角色,personage,personal,personable,haddock
太空,ethereal,eternal,in the air,sky
嘲笑,mock,mark,jack,muck
浪费,lavishly,sufficient,saving,extract
堕落的(人),reprobate,probate,inborn,airhostess
鼓起勇气,nerve,weave,nervy,swerve
肥胖,corpulent,opulent,fine,vertical
与言辞有关的,verbal,venial,aerial,vernal
花瓣,petal,pedal,mental,total
竞争者,rival,regal,divan,oval
逗弄,bait,edit,sit,wait
过分敏感,hypersensitive,crazy,palatable,cosmonaut
解冻,thaw,than,hew,how
矮人,pygmy,urchin,boy,skeleton
强烈的欲望,lust,loot,lusty,burst
高声鸣叫,blare,blab,boar,lure
暴饮暴食,gluttony,chew,to devour,to suck in
(在无意义上的小事上)愚蠢地浪费(时间和金钱),fritter,fitter,titter,filter
以纹章或其他方式装饰,emblazon,bullet,puny,silence
审查,censor,sensor,consort,censer
肥沃,luxuriant,luxuriance,luxuriate,dense
整齐,tidy,tire,Aids,today
说明,expository,clear,to mirror,all things tends in one direction
平原,plain,place,play,pain
平稳的状态,plateau,plateful,plate,hobnob
遮阳蓬,awning,replete,collected,croon
即席演说,extemporize,clout,wellbeing,darn
腹,abdomen,cigar,clap,militant
圆桶,bucket,bunker,buffet,wicket
不道德的行为,wrongdoing,to endanger,vengeance,to anaesthetize
避免,preclude,prelude,precede,seclude
无法摆脱,inextricable,cadre,pap,dairy
蛙鸣声,croak,cross,crock,crop
居住,reside,refine,residue,beside
聚集,concentrate,for a long time,to shake hands,to reunite
使人悲伤,dismal,dispel,dismay,visual
决断力,volition,abolition,position,coalition
优先权,precedence,preference,precedent,inheritance
不满足的,discontented,mostly,incorrect,convert
肥沃,fertility,fertilize,festivity,blank space
心智,psyche,beaten,make no comment,stun
厄运,misfortune,born unlucky,adversity,luck with the opposite sex
项圈,torque,true,tongue,torture
使某物显露,disclose,dispose,jeep,handbill
垃圾,litter,letter,clatter,fitter
鼓舞,rouse,arouse,carouse,louse
享受,delectation,suffering,accept,to share
树懒(一种动物),sloth,blot,slow,slosh
可纠正的,remediable,assertion,cajole,imperil
(动物)蜕皮,ecdysis,rarely,histrionic,flee
同化,assimilate,flush ,automation,soften
(作品等)表达,embody,body,nobody,moody
不愿意的,indisposed,cross,commerce,runnel
大看台,grandstand,statistics,initiate,obligation
集会,rally,valley,sally,palmy
神权政治,theocracy,ode,super,superior
炫耀,splurge,lighten,radiation,perilous situation
报复,revenge,revenue,reverie,reverse
归咎,imputation,reputation,imitation,deputation
相等,equivalent,asynchronous,contend against,homosexual
束缚,trammel,gramme,travel,limit
鞭打,lash,vast,wash,mash
短暂,transient,transcend,transit,ice-cold
浏览,browse,blouse,drowsy,brown
(马拉的)弹药箱车或灵柩车,caisson,crimson,upside,fowl
(妇女)刻意打扮,primp,calico,princess,backside
抑制剂,inhibitor,pigsty,seasonal,axiomatic
古生物学家,paleontologist,scholar,historian,technician
狭小,incommodious,probably,endless,to be full of
换羽(期),molt,supine,trance,toiletries
绷带,bandage,bondage,barrage,manage
熊的,ursine,rant,operator,officiate
选举学,psephology,progeny,tradition,interloper
夜晚,nocturnal,nighttime,morning,midday
得罪,offense,all's fair in war,provocation,be entangled
小歌剧,operetta,byelaw,oppress,anecdote
喧哗,blatant,latent,single handed ,bustling with noise and excitement
休息,respite,respire,spite,despise
同意,assent,ascent,asset,assess
吃饱,repletion,reflection,relation,seduce
隔墙,partition,petition,eaves,fence
平民,plebeian,public,molecule,population
框架结构,framing,surveyor,slangy,rend
粗鄙之人,churl,output,maggot,herpes
孵卵期,incubation,the Northern Song Dynasty ,period,term
裂缝,cleft,tear up ,destruction,crack
狂暴,tempestuous,verily,grim,warmhearted
胰岛素,insulin,borneol,medicine,root of herbaceous peony 
爱挑剔的,fussy,hussy,dusty,messy
辛辣,piquant,heavy,interesting,prosperous
详细说明,elaboration,week,outright,preview
著名,renowned,immortality,winner,good-looking
(思考而得的)启示,inspiration,feeling,to become aware of,ache
安眠药,opiate,servant,happiness,travel
安排,arrangement,to set up,regulate,dispatch  
撤退,withdraw,withdrawal,destroy,captive
宠爱妻子,uxorious,clerical,abundant,partial
在商店中陈列旧了的,shopworn,new kind,old,freshness
政党高层会议,caucus,warrior,these,am
眼光,discernment,prejudice,view,local style
(商业上)现实的,hardheaded,sensitive,ignorant,spoil
(指人,gruff,scruff,stuff,buff
节流阀,throttle,stamp,perjure,faraway
愤世嫉俗者,misanthrope,calico,whoever,from
欢腾,exult,exalt,exeunt,exile
删减,abridge,bride,abrade,bridge
柱子,pillar,pilfer,polar,villa
兴趣,interest,interact,intersect,intercept
疯狂,insane,intone,innate,intake
贬低,depreciate,appreciate,deprecate,depose
遗忘,oblivious,to find,see clearly,to know
微积分学,calculus,septicaemia,epidemic disease,rhinitis
细读,peruse,refuse,perish,erase
不惹人讨厌的,unobjectionable,hug,through,incoming
势利眼的,snobbish,domino,bawdy,chastise
电视或无线电中的广告,commercial,horrid,gaseous,trot
贮藏室,repository,depository,depositor,nuclear arsenal
有浮力的,buoyant,fall on one's knees,jubilation,to bow
推进,propel,proper,prone,probe
猛烈,vehement,element,vestment,tenement
欢乐,mirth,forth,mist,mint
跨度,span,forefinger,wavelength,remainder
小量,morsel,moral,moose,dorsal
不稳,cranky,candy,crank,craggy
未充分利用的,underutilized,drafty,haddock,squander
大农场,plantation,plantain,gravitational field,farm
一阵剧痛,pang,bang,lank,fang
驯服,docile,decide,mobile,doodle
极守道德,puritanical,drinkable,dedicate,supersede
预期,anticipate,speculative,to suspect,aspire
大块(食物),hunk,funk,shunt,luck
骑兵部队,cavalry,rivalry,canary,psalm
忧愁,hangdog,be out of sorts,sullen,mixed feelings of grief and joy
撬动,lever,never,clever,ledger
慎重,circumspect,to squander,advance gradually and entrench oneself at every step,impatience
突然袭击,raid,rend,aid,avid
幼稚,naivety,ninety,nativity,naive
短剑,dagger,swagger,lager,damper
发光,ignite,incite,dignity,innate
腱,sinew,spew,view,pine
围攻,besiege,beige,believe,siege
(脾气)易怒的,fractious,facetious,fraction,gracious
舌的,lingual,tug,fort,perimeter
狼狈,discomfiture,embarrassment,pleased with oneself,well-known 
修剪,prune,prank,prate,prude
拼图游戏,jigsaw-puzzle,ride,spittoon,arable
迷人,debonair,rim,extensive,be unpopular
嘶哑,hoarse,coarse,hoard,hoary
(政治或军事的)报复,reprisal,retrial,raft,paroxysm
合并,conflate,to separate,unmarried,to have a reunion
合适,opportune,importune,handy,not miss the farming season
变样,out-of-shape,suddenly turn hostile,pathological changes,fusion
乱画,daub,dub,dab,dam
抵抗,resist,desist,result,persist
考古学,archaeology,military science,geometry,astronomy
过剩,surplus,surpass,there is no lack of,can't tell how many there are - there are numerous similar cases
惆怅,wistful,wilful,wishful,wasteful
出丑,disgrace,displace,distract,to await job assignment 
范例,paradigm,example,case,common
轻打,flick,flock,lick,cluck
大暴雨,cloudburst,raindrop,mineral spring,light rain
对...不再抱幻想,disenchant,tarnish,rigid,apprentice
自信,self-confident,half-believe, half-doubt,serious,be convinced
绑缚之物(尤指系住血管以免失血的线),ligature,cripple,extol,spry
组合乐曲,fantasia,barb,runway,checkup
脚灯,footlights,bulb,bracket light,electric light
不透明性,opacity,mystery,tidy,accurate
不满意,discontent,disconcert,disconnect,rise
嗜酒症,dipsomania,unstop,agape,execute
任期,tenure,denude,manure,venue
扭动,wiggle,giggle,waggle,wriggle
描绘,depict,defect,detect,debit
放纵,laxity,to hoodwink,no matter what,to cheat
幽灵,apparition,apportion,evil spirit,devil
自大,pompous,porous,vehement,generous
演艺精湛的人,virtuoso,virtuous,gentry,subscribe
憎恶,resent,rodent,present,repent
扰乱,discombobulated,trouble,infuriate,offend
